home_language,pct_of_students,county_district_school_code,academic_year
English,95.1,01-3720-056,2018-2019
Spanish,3.6,01-3720-056,2018-2019
Other,1.2,01-3720-056,2018-2019
English,94.0,01-3720-057,2018-2019
Other,2.5,01-3720-057,2018-2019
Spanish,2.5,01-3720-057,2018-2019
Gujarati,1.1,01-3720-057,2018-2019
Spanish,52.6,01-4180-050,2018-2019
English,43.2,01-4180-050,2018-2019
Haitian,2.3,01-4180-050,2018-2019
Other,1.9,01-4180-050,2018-2019
Spanish,50.9,01-4180-055,2018-2019
English,46.0,01-4180-055,2018-2019
Other,1.6,01-4180-055,2018-2019
Haitian,1.6,01-4180-055,2018-2019
Spanish,77.6,01-4180-060,2018-2019
English,17.4,01-4180-060,2018-2019
Other,3.7,01-4180-060,2018-2019
Vietnamese,1.4,01-4180-060,2018-2019
Spanish,47.6,01-4180-080,2018-2019
English,46.0,01-4180-080,2018-2019
Haitian,3.9,01-4180-080,2018-2019
Other,2.5,01-4180-080,2018-2019
Spanish,58.2,01-4180-085,2018-2019
English,39.4,01-4180-085,2018-2019
Other,1.3,01-4180-085,2018-2019
"Creoles and pidgins, English based",1.1,01-4180-085,2018-2019
Spanish,53.7,01-4180-095,2018-2019
English,41.8,01-4180-095,2018-2019
Haitian,3.3,01-4180-095,2018-2019
Other,1.2,01-4180-095,2018-2019
English,100.0,01-4240-050,2018-2019
English,83.2,01-4800-050,2018-2019
Spanish,15.5,01-4800-050,2018-2019
Other,1.3,01-4800-050,2018-2019
English,84.5,01-4800-055,2018-2019
Spanish,12.5,01-4800-055,2018-2019
Other,1.9,01-4800-055,2018-2019
Chinese,1.2,01-4800-055,2018-2019
English,87.7,01-4800-060,2018-2019
Spanish,11.0,01-4800-060,2018-2019
Vietnamese,1.4,01-4800-060,2018-2019
English,60.3,01-5350-040,2018-2019
Spanish,24.2,01-5350-040,2018-2019
Other,6.5,01-5350-040,2018-2019
Bengali,3.6,01-5350-040,2018-2019
Vietnamese,3.6,01-5350-040,2018-2019
Arabic,1.8,01-5350-040,2018-2019
English,71.6,01-5350-045,2018-2019
Spanish,17.5,01-5350-045,2018-2019
Other,5.8,01-5350-045,2018-2019
Bengali,2.4,01-5350-045,2018-2019
Gujarati,1.6,01-5350-045,2018-2019
Pashto,1.1,01-5350-045,2018-2019
English,100.0,01-5760-020,2018-2019
English,86.0,03-0040-010,2018-2019
Other,5.2,03-0040-010,2018-2019
Korean,4.1,03-0040-010,2018-2019
Spanish,2.3,03-0040-010,2018-2019
Chinese,1.4,03-0040-010,2018-2019
Polish,1.0,03-0040-010,2018-2019
English,86.0,03-0040-020,2018-2019
Other,5.9,03-0040-020,2018-2019
Korean,3.5,03-0040-020,2018-2019
Chinese,1.6,03-0040-020,2018-2019
Hindi,1.6,03-0040-020,2018-2019
Spanish,1.3,03-0040-020,2018-2019
English,83.1,03-0080-010,2018-2019
Korean,6.1,03-0080-010,2018-2019
Other,4.7,03-0080-010,2018-2019
Albanian,2.0,03-0080-010,2018-2019
Chinese,2.0,03-0080-010,2018-2019
Moldovan,2.0,03-0080-010,2018-2019
English,80.7,03-0285-002,2018-2019
Spanish,12.0,03-0285-002,2018-2019
Other,2.4,03-0285-002,2018-2019
Korean,2.4,03-0285-002,2018-2019
Macedonian,1.2,03-0285-002,2018-2019
Tagalog,1.2,03-0285-002,2018-2019
English,54.9,03-0285-030,2018-2019
Spanish,34.0,03-0285-030,2018-2019
Other,6.3,03-0285-030,2018-2019
Arabic,2.8,03-0285-030,2018-2019
Bengali,1.4,03-0285-030,2018-2019
English,83.3,03-0285-040,2018-2019
Spanish,16.7,03-0285-040,2018-2019
English,80.4,03-0285-050,2018-2019
Spanish,13.8,03-0285-050,2018-2019
Other,4.3,03-0285-050,2018-2019
Arabic,1.4,03-0285-050,2018-2019
English,85.5,03-0285-070,2018-2019
Spanish,8.7,03-0285-070,2018-2019
Polish,1.4,03-0285-070,2018-2019
Other,1.4,03-0285-070,2018-2019
Arabic,1.4,03-0285-070,2018-2019
French,1.4,03-0285-070,2018-2019
English,76.1,03-0285-100,2018-2019
Spanish,15.3,03-0285-100,2018-2019
Other,5.3,03-0285-100,2018-2019
Korean,1.4,03-0285-100,2018-2019
Bengali,1.0,03-0285-100,2018-2019
Arabic,1.0,03-0285-100,2018-2019
English,80.1,03-0290-020,2018-2019
Korean,8.3,03-0290-020,2018-2019
Other,6.9,03-0290-020,2018-2019
Russian,1.9,03-0290-020,2018-2019
Chinese,1.5,03-0290-020,2018-2019
Polish,1.3,03-0290-020,2018-2019
English,91.2,03-0290-030,2018-2019
Spanish,4.2,03-0290-030,2018-2019
Other,3.3,03-0290-030,2018-2019
