home_language,pct_of_students,county_district_school_code,academic_year
Hindi,8.8,21-5715-050,2020-2021
Marathi,5.0,21-5715-050,2020-2021
Other,23.8,21-5715-050,2020-2021
Tamil,10.5,21-5715-050,2020-2021
Telugu,14.6,21-5715-050,2020-2021
English,39.4,21-5715-130,2020-2021
Hindi,7.5,21-5715-130,2020-2021
Other,24.0,21-5715-130,2020-2021
Spanish,3.4,21-5715-130,2020-2021
Tamil,9.7,21-5715-130,2020-2021
Telugu,16.1,21-5715-130,2020-2021
Chinese,5.4,21-5715-140,2020-2021
English,54.4,21-5715-140,2020-2021
Hindi,7.7,21-5715-140,2020-2021
Other,16.4,21-5715-140,2020-2021
Tamil,6.9,21-5715-140,2020-2021
Telugu,9.2,21-5715-140,2020-2021
Chinese,5.2,21-5715-150,2020-2021
English,44.7,21-5715-150,2020-2021
Hindi,9.0,21-5715-150,2020-2021
Other,18.2,21-5715-150,2020-2021
Tamil,7.8,21-5715-150,2020-2021
Telugu,15.1,21-5715-150,2020-2021
Chinese,5.3,21-5715-160,2020-2021
English,54.9,21-5715-160,2020-2021
Hindi,10.8,21-5715-160,2020-2021
Other,18.4,21-5715-160,2020-2021
Tamil,4.0,21-5715-160,2020-2021
Telugu,6.6,21-5715-160,2020-2021
Arabic,1.1,23-0750-030,2020-2021
English,51.3,23-0750-030,2020-2021
Other,4.0,23-0750-030,2020-2021
Panjabi,11.9,23-0750-030,2020-2021
Spanish,26.9,23-0750-030,2020-2021
Urdu,4.8,23-0750-030,2020-2021
Arabic,2.2,23-0750-050,2020-2021
English,69.4,23-0750-050,2020-2021
Other,4.1,23-0750-050,2020-2021
Panjabi,5.0,23-0750-050,2020-2021
Spanish,16.6,23-0750-050,2020-2021
Urdu,2.8,23-0750-050,2020-2021
Arabic,1.1,23-0750-055,2020-2021
English,56.8,23-0750-055,2020-2021
Other,4.0,23-0750-055,2020-2021
Panjabi,9.4,23-0750-055,2020-2021
Spanish,23.6,23-0750-055,2020-2021
Urdu,5.0,23-0750-055,2020-2021
English,52.6,23-0750-057,2020-2021
Hindi,1.0,23-0750-057,2020-2021
Other,3.0,23-0750-057,2020-2021
Panjabi,19.1,23-0750-057,2020-2021
Spanish,18.3,23-0750-057,2020-2021
Urdu,6.0,23-0750-057,2020-2021
Arabic,1.1,23-0750-060,2020-2021
English,53.8,23-0750-060,2020-2021
Other,2.8,23-0750-060,2020-2021
Panjabi,6.5,23-0750-060,2020-2021
Spanish,30.3,23-0750-060,2020-2021
Urdu,5.4,23-0750-060,2020-2021
Chinese,2.5,23-0970-030,2020-2021
English,92.6,23-0970-030,2020-2021
Other,3.6,23-0970-030,2020-2021
Urdu,1.3,23-0970-030,2020-2021
Arabic,1.1,23-1140-040,2020-2021
English,62.3,23-1140-040,2020-2021
Other,4.5,23-1140-040,2020-2021
Spanish,32.0,23-1140-040,2020-2021
English,66.0,23-1140-050,2020-2021
Other,4.9,23-1140-050,2020-2021
Spanish,29.0,23-1140-050,2020-2021
English,61.2,23-1140-060,2020-2021
Other,5.5,23-1140-060,2020-2021
Polish,1.0,23-1140-060,2020-2021
Spanish,32.2,23-1140-060,2020-2021
Arabic,8.7,23-1170-050,2020-2021
Chinese,7.9,23-1170-050,2020-2021
English,57.2,23-1170-050,2020-2021
Other,18.4,23-1170-050,2020-2021
Spanish,5.0,23-1170-050,2020-2021
Urdu,2.8,23-1170-050,2020-2021
Arabic,8.4,23-1170-055,2020-2021
Chinese,7.2,23-1170-055,2020-2021
English,58.6,23-1170-055,2020-2021
Hindi,2.4,23-1170-055,2020-2021
Other,17.9,23-1170-055,2020-2021
Spanish,5.5,23-1170-055,2020-2021
Arabic,8.7,23-1170-056,2020-2021
Chinese,4.2,23-1170-056,2020-2021
English,61.7,23-1170-056,2020-2021
Hindi,3.5,23-1170-056,2020-2021
Other,17.3,23-1170-056,2020-2021
Spanish,4.6,23-1170-056,2020-2021
Arabic,7.8,23-1170-060,2020-2021
Chinese,3.1,23-1170-060,2020-2021
English,65.1,23-1170-060,2020-2021
Other,13.6,23-1170-060,2020-2021
Spanish,8.1,23-1170-060,2020-2021
Urdu,2.3,23-1170-060,2020-2021
Arabic,8.1,23-1170-070,2020-2021
Chinese,6.7,23-1170-070,2020-2021
English,57.8,23-1170-070,2020-2021
Gujarati,3.5,23-1170-070,2020-2021
Other,18.7,23-1170-070,2020-2021
Spanish,5.3,23-1170-070,2020-2021
Arabic,13.9,23-1170-090,2020-2021
Chinese,7.6,23-1170-090,2020-2021
English,44.4,23-1170-090,2020-2021
Hindi,4.7,23-1170-090,2020-2021
Korean,3.7,23-1170-090,2020-2021
Other,25.7,23-1170-090,2020-2021
Arabic,12.0,23-1170-100,2020-2021
Chinese,5.0,23-1170-100,2020-2021
English,51.8,23-1170-100,2020-2021
Other,22.3,23-1170-100,2020-2021
Spanish,6.1,23-1170-100,2020-2021
Urdu,2.7,23-1170-100,2020-2021
Arabic,9.0,23-1170-120,2020-2021
Chinese,5.2,23-1170-120,2020-2021
English,56.9,23-1170-120,2020-2021
Hindi,3.5,23-1170-120,2020-2021
Other,18.1,23-1170-120,2020-2021
Spanish,7.3,23-1170-120,2020-2021
Arabic,8.7,23-1170-125,2020-2021
Chinese,4.7,23-1170-125,2020-2021
English,51.0,23-1170-125,2020-2021
Hindi,4.7,23-1170-125,2020-2021
Other,19.3,23-1170-125,2020-2021
Spanish,11.6,23-1170-125,2020-2021
Arabic,4.6,23-1170-130,2020-2021
Chinese,6.1,23-1170-130,2020-2021
English,55.0,23-1170-130,2020-2021
Other,26.7,23-1170-130,2020-2021
Russian,3.9,23-1170-130,2020-2021
Spanish,3.7,23-1170-130,2020-2021
Arabic,5.8,23-1170-138,2020-2021
Chinese,7.8,23-1170-138,2020-2021
English,60.3,23-1170-138,2020-2021
Other,18.1,23-1170-138,2020-2021
Spanish,3.7,23-1170-138,2020-2021
Urdu,4.3,23-1170-138,2020-2021
English,48.6,23-1290-050,2020-2021
Gujarati,5.1,23-1290-050,2020-2021
Hindi,3.7,23-1290-050,2020-2021
Other,24.2,23-1290-050,2020-2021
Spanish,14.2,23-1290-050,2020-2021
Urdu,4.2,23-1290-050,2020-2021
English,27.5,23-1290-053,2020-2021
Gujarati,13.1,23-1290-053,2020-2021
Hindi,12.9,23-1290-053,2020-2021
Other,29.4,23-1290-053,2020-2021
Tamil,7.2,23-1290-053,2020-2021
Telugu,9.9,23-1290-053,2020-2021
English,43.6,23-1290-055,2020-2021
Gujarati,6.9,23-1290-055,2020-2021
Hindi,13.2,23-1290-055,2020-2021
Other,22.4,23-1290-055,2020-2021
Tamil,5.7,23-1290-055,2020-2021
Telugu,8.2,23-1290-055,2020-2021
English,56.4,23-1290-057,2020-2021
Gujarati,5.7,23-1290-057,2020-2021
Other,18.9,23-1290-057,2020-2021
Spanish,12.3,23-1290-057,2020-2021
Tamil,3.4,23-1290-057,2020-2021
Telugu,3.3,23-1290-057,2020-2021
English,45.0,23-1290-060,2020-2021
Hindi,6.0,23-1290-060,2020-2021
Other,21.1,23-1290-060,2020-2021
Spanish,16.4,23-1290-060,2020-2021
Tamil,5.1,23-1290-060,2020-2021
Telugu,6.4,23-1290-060,2020-2021
English,34.8,23-1290-063,2020-2021
Gujarati,10.7,23-1290-063,2020-2021
Hindi,13.9,23-1290-063,2020-2021
Other,20.5,23-1290-063,2020-2021
Tamil,8.2,23-1290-063,2020-2021
Telugu,11.9,23-1290-063,2020-2021
English,50.4,23-1290-065,2020-2021
Gujarati,9.5,23-1290-065,2020-2021
Other,18.6,23-1290-065,2020-2021
Spanish,12.0,23-1290-065,2020-2021
Telugu,4.5,23-1290-065,2020-2021
Urdu,5.0,23-1290-065,2020-2021
English,30.6,23-1290-090,2020-2021
Gujarati,10.8,23-1290-090,2020-2021
Hindi,14.7,23-1290-090,2020-2021
Other,22.9,23-1290-090,2020-2021
Tamil,8.3,23-1290-090,2020-2021
Telugu,12.7,23-1290-090,2020-2021
English,31.1,23-1290-092,2020-2021
Gujarati,11.2,23-1290-092,2020-2021
Hindi,13.9,23-1290-092,2020-2021
Other,21.1,23-1290-092,2020-2021
Tamil,9.4,23-1290-092,2020-2021
Telugu,13.3,23-1290-092,2020-2021
English,52.0,23-1290-093,2020-2021
Gujarati,5.8,23-1290-093,2020-2021
Hindi,6.2,23-1290-093,2020-2021
Other,23.0,23-1290-093,2020-2021
Spanish,7.0,23-1290-093,2020-2021
Telugu,6.0,23-1290-093,2020-2021
English,29.2,23-1290-095,2020-2021
Hindi,11.8,23-1290-095,2020-2021
Other,22.7,23-1290-095,2020-2021
Spanish,4.0,23-1290-095,2020-2021
Tamil,11.5,23-1290-095,2020-2021
Telugu,20.8,23-1290-095,2020-2021
English,29.9,23-1290-100,2020-2021
Gujarati,5.3,23-1290-100,2020-2021
Hindi,9.7,23-1290-100,2020-2021
Other,25.8,23-1290-100,2020-2021
Tamil,13.6,23-1290-100,2020-2021
Telugu,15.7,23-1290-100,2020-2021
Chinese,6.2,23-1290-103,2020-2021
English,56.5,23-1290-103,2020-2021
Gujarati,2.9,23-1290-103,2020-2021
Other,9.7,23-1290-103,2020-2021
Spanish,22.9,23-1290-103,2020-2021
Urdu,2.0,23-1290-103,2020-2021
English,33.0,23-1290-104,2020-2021
Gujarati,9.9,23-1290-104,2020-2021
Hindi,20.8,23-1290-104,2020-2021
Other,15.9,23-1290-104,2020-2021
Tamil,7.4,23-1290-104,2020-2021
Telugu,13.0,23-1290-104,2020-2021
English,26.3,23-1290-105,2020-2021
Gujarati,17.2,23-1290-105,2020-2021
Hindi,12.6,23-1290-105,2020-2021
Other,27.8,23-1290-105,2020-2021
Tamil,6.8,23-1290-105,2020-2021
Telugu,9.3,23-1290-105,2020-2021
Chinese,4.4,23-1290-150,2020-2021
English,45.1,23-1290-150,2020-2021
Other,23.6,23-1290-150,2020-2021
Spanish,15.5,23-1290-150,2020-2021
Telugu,6.8,23-1290-150,2020-2021
Urdu,4.6,23-1290-150,2020-2021
English,28.4,23-1290-160,2020-2021
Gujarati,5.4,23-1290-160,2020-2021
Hindi,14.6,23-1290-160,2020-2021
Other,21.5,23-1290-160,2020-2021
Tamil,10.5,23-1290-160,2020-2021
Telugu,19.6,23-1290-160,2020-2021
Arabic,4.5,23-1290-300,2020-2021
English,32.8,23-1290-300,2020-2021
Gujarati,6.0,23-1290-300,2020-2021
Other,31.3,23-1290-300,2020-2021
Spanish,13.4,23-1290-300,2020-2021
Telugu,11.9,23-1290-300,2020-2021
English,31.9,23-1290-302,2020-2021
Gujarati,11.8,23-1290-302,2020-2021
Hindi,9.0,23-1290-302,2020-2021
Other,20.8,23-1290-302,2020-2021
Tamil,8.3,23-1290-302,2020-2021
Telugu,18.1,23-1290-302,2020-2021
Arabic,2.9,23-2150-050,2020-2021
Chinese,8.7,23-2150-050,2020-2021
English,67.8,23-2150-050,2020-2021
Other,6.6,23-2150-050,2020-2021
Spanish,13.9,23-2150-050,2020-2021
Arabic,2.5,23-2150-060,2020-2021
Chinese,5.2,23-2150-060,2020-2021
English,68.3,23-2150-060,2020-2021
Korean,1.9,23-2150-060,2020-2021
Other,9.8,23-2150-060,2020-2021
Spanish,12.3,23-2150-060,2020-2021
Arabic,2.8,23-2150-070,2020-2021
Chinese,4.7,23-2150-070,2020-2021
English,61.3,23-2150-070,2020-2021
Hindi,4.0,23-2150-070,2020-2021
Other,13.4,23-2150-070,2020-2021
Spanish,13.8,23-2150-070,2020-2021
Arabic,1.9,23-2150-085,2020-2021
Chinese,6.3,23-2150-085,2020-2021
English,65.6,23-2150-085,2020-2021
Korean,1.9,23-2150-085,2020-2021
Other,10.9,23-2150-085,2020-2021
Spanish,13.5,23-2150-085,2020-2021
Arabic,1.0,23-2370-075,2020-2021
English,56.7,23-2370-075,2020-2021
Other,2.1,23-2370-075,2020-2021
Spanish,40.2,23-2370-075,2020-2021
Arabic,1.1,23-2370-080,2020-2021
English,53.6,23-2370-080,2020-2021
Other,4.1,23-2370-080,2020-2021
Spanish,41.2,23-2370-080,2020-2021
Chinese,3.2,23-3120-050,2020-2021
English,81.5,23-3120-050,2020-2021
Hindi,1.1,23-3120-050,2020-2021
Other,10.8,23-3120-050,2020-2021
Spanish,3.5,23-3120-050,2020-2021
Chinese,5.1,23-3120-060,2020-2021
English,78.9,23-3120-060,2020-2021
Gujarati,1.1,23-3120-060,2020-2021
Hindi,2.0,23-3120-060,2020-2021
Other,10.2,23-3120-060,2020-2021
Spanish,2.8,23-3120-060,2020-2021
Chinese,3.5,23-3120-070,2020-2021
English,81.4,23-3120-070,2020-2021
Gujarati,1.1,23-3120-070,2020-2021
Korean,1.1,23-3120-070,2020-2021
Other,10.5,23-3120-070,2020-2021
Spanish,2.4,23-3120-070,2020-2021
Chinese,2.7,23-3120-090,2020-2021
English,86.3,23-3120-090,2020-2021
Gujarati,2.1,23-3120-090,2020-2021
Other,5.5,23-3120-090,2020-2021
Russian,1.4,23-3120-090,2020-2021
Spanish,2.1,23-3120-090,2020-2021
Arabic,2.1,23-3140-050,2020-2021
English,75.7,23-3140-050,2020-2021
Other,3.1,23-3140-050,2020-2021
Spanish,17.8,23-3140-050,2020-2021
Vietnamese,1.3,23-3140-050,2020-2021
Chinese,1.1,23-3140-065,2020-2021
English,83.5,23-3140-065,2020-2021
Other,3.3,23-3140-065,2020-2021
Spanish,9.9,23-3140-065,2020-2021
Vietnamese,2.2,23-3140-065,2020-2021
Arabic,5.2,23-3140-070,2020-2021
English,44.8,23-3140-070,2020-2021
Other,4.7,23-3140-070,2020-2021
Panjabi,2.9,23-3140-070,2020-2021
Spanish,41.3,23-3140-070,2020-2021
Tagalog,1.2,23-3140-070,2020-2021
Arabic,1.8,23-3140-085,2020-2021
Chinese,1.2,23-3140-085,2020-2021
English,68.1,23-3140-085,2020-2021
Other,5.0,23-3140-085,2020-2021
Spanish,21.7,23-3140-085,2020-2021
Vietnamese,2.1,23-3140-085,2020-2021
Arabic,3.7,23-3140-090,2020-2021
Chinese,2.4,23-3140-090,2020-2021
English,66.1,23-3140-090,2020-2021
Other,6.1,23-3140-090,2020-2021
Spanish,18.4,23-3140-090,2020-2021
Vietnamese,3.3,23-3140-090,2020-2021
English,45.5,23-3145-006,2020-2021
Gujarati,2.7,23-3145-006,2020-2021
Other,7.1,23-3145-006,2020-2021
Spanish,25.9,23-3145-006,2020-2021
Urdu,1.8,23-3145-006,2020-2021
Albanian,1.6,23-3145-030,2020-2021
English,72.8,23-3145-030,2020-2021
Gujarati,2.4,23-3145-030,2020-2021
Other,8.0,23-3145-030,2020-2021
Spanish,13.6,23-3145-030,2020-2021
Ukrainian,1.6,23-3145-030,2020-2021
English,70.9,23-3145-031,2020-2021
Other,7.7,23-3145-031,2020-2021
Russian,1.1,23-3145-031,2020-2021
Spanish,15.4,23-3145-031,2020-2021
Tamil,2.2,23-3145-031,2020-2021
Telugu,2.2,23-3145-031,2020-2021
English,73.8,23-3145-090,2020-2021
Portuguese,1.6,23-3145-090,2020-2021
Spanish,14.8,23-3145-090,2020-2021
English,36.8,23-3145-100,2020-2021
Other,4.5,23-3145-100,2020-2021
Panjabi,1.5,23-3145-100,2020-2021
Spanish,21.1,23-3145-100,2020-2021
Urdu,1.5,23-3145-100,2020-2021
Bengali,3.7,23-3145-300,2020-2021
English,45.7,23-3145-300,2020-2021
Other,6.2,23-3145-300,2020-2021
Spanish,18.5,23-3145-300,2020-2021
Tamil,2.5,23-3145-300,2020-2021
Telugu,1.2,23-3145-300,2020-2021
English,100.0,23-3150-010,2020-2021
English,99.4,23-3150-040,2020-2021
Other,0.6,23-3150-040,2020-2021
English,44.7,23-3150-060,2020-2021
Other,2.2,23-3150-060,2020-2021
Spanish,53.1,23-3150-060,2020-2021
English,90.0,23-3150-065,2020-2021
Other,0.5,23-3150-065,2020-2021
Spanish,9.6,23-3150-065,2020-2021
English,60.0,23-3150-070,2020-2021
Gujarati,4.3,23-3150-070,2020-2021
Hindi,7.2,23-3150-070,2020-2021
Other,15.6,23-3150-070,2020-2021
Tamil,5.4,23-3150-070,2020-2021
Telugu,7.5,23-3150-070,2020-2021
English,97.4,23-3150-301,2020-2021
Other,0.3,23-3150-301,2020-2021
Spanish,2.2,23-3150-301,2020-2021
Arabic,2.5,23-3220-050,2020-2021
English,93.1,23-3220-050,2020-2021
Other,0.9,23-3220-050,2020-2021
Spanish,3.6,23-3220-050,2020-2021
Arabic,2.4,23-3220-060,2020-2021
English,90.6,23-3220-060,2020-2021
Other,2.4,23-3220-060,2020-2021
Serbian,1.2,23-3220-060,2020-2021
Spanish,3.3,23-3220-060,2020-2021
English,66.9,23-3290-005,2020-2021
Gujarati,5.5,23-3290-005,2020-2021
Hindi,3.9,23-3290-005,2020-2021
Other,12.7,23-3290-005,2020-2021
Spanish,4.6,23-3290-005,2020-2021
Telugu,6.5,23-3290-005,2020-2021
English,66.0,23-3290-010,2020-2021
Gujarati,4.9,23-3290-010,2020-2021
Hindi,3.3,23-3290-010,2020-2021
Malayalam,2.9,23-3290-010,2020-2021
Other,14.7,23-3290-010,2020-2021
Telugu,8.2,23-3290-010,2020-2021
English,58.5,23-3290-020,2020-2021
Gujarati,6.9,23-3290-020,2020-2021
Hindi,5.8,23-3290-020,2020-2021
Other,13.9,23-3290-020,2020-2021
Tamil,3.8,23-3290-020,2020-2021
Telugu,11.1,23-3290-020,2020-2021
Arabic,1.9,23-3290-030,2020-2021
Chinese,2.2,23-3290-030,2020-2021
English,80.2,23-3290-030,2020-2021
Gujarati,1.6,23-3290-030,2020-2021
Other,10.5,23-3290-030,2020-2021
Spanish,3.5,23-3290-030,2020-2021
Arabic,2.7,23-3290-040,2020-2021
English,77.9,23-3290-040,2020-2021
Gujarati,2.3,23-3290-040,2020-2021
Other,10.9,23-3290-040,2020-2021
Spanish,3.8,23-3290-040,2020-2021
Telugu,2.3,23-3290-040,2020-2021
English,62.2,23-3290-050,2020-2021
Gujarati,4.7,23-3290-050,2020-2021
Hindi,6.4,23-3290-050,2020-2021
Other,15.3,23-3290-050,2020-2021
Tamil,3.7,23-3290-050,2020-2021
Telugu,7.7,23-3290-050,2020-2021
English,51.8,23-3290-060,2020-2021
Gujarati,6.8,23-3290-060,2020-2021
Hindi,4.7,23-3290-060,2020-2021
Other,11.3,23-3290-060,2020-2021
Tamil,7.3,23-3290-060,2020-2021
Telugu,18.1,23-3290-060,2020-2021
English,41.1,23-3290-300,2020-2021
Gujarati,8.5,23-3290-300,2020-2021
Hindi,7.9,23-3290-300,2020-2021
Other,12.5,23-3290-300,2020-2021
Tamil,9.2,23-3290-300,2020-2021
Telugu,20.8,23-3290-300,2020-2021
English,22.8,23-3530-050,2020-2021
Other,0.4,23-3530-050,2020-2021
Spanish,76.8,23-3530-050,2020-2021
English,15.5,23-3530-055,2020-2021
Other,0.3,23-3530-055,2020-2021
Spanish,84.1,23-3530-055,2020-2021
English,16.4,23-3530-060,2020-2021
Other,0.6,23-3530-060,2020-2021
Spanish,83.0,23-3530-060,2020-2021
English,13.3,23-3530-080,2020-2021
Other,0.5,23-3530-080,2020-2021
Spanish,86.2,23-3530-080,2020-2021
English,14.5,23-3530-090,2020-2021
Other,0.3,23-3530-090,2020-2021
Spanish,85.2,23-3530-090,2020-2021
English,19.1,23-3530-100,2020-2021
Other,0.7,23-3530-100,2020-2021
Spanish,80.3,23-3530-100,2020-2021
English,40.9,23-3530-110,2020-2021
Other,0.7,23-3530-110,2020-2021
Spanish,58.3,23-3530-110,2020-2021
English,17.8,23-3530-123,2020-2021
Other,0.1,23-3530-123,2020-2021
Spanish,82.1,23-3530-123,2020-2021
English,10.9,23-3530-125,2020-2021
Other,0.6,23-3530-125,2020-2021
Spanish,88.5,23-3530-125,2020-2021
English,57.7,23-3530-140,2020-2021
Other,2.2,23-3530-140,2020-2021
Spanish,40.2,23-3530-140,2020-2021
English,18.2,23-3530-300,2020-2021
Other,0.7,23-3530-300,2020-2021
Spanish,81.1,23-3530-300,2020-2021
English,63.1,23-3620-040,2020-2021
Gujarati,1.7,23-3620-040,2020-2021
Hindi,1.3,23-3620-040,2020-2021
Other,9.5,23-3620-040,2020-2021
Spanish,22.9,23-3620-040,2020-2021
Urdu,1.4,23-3620-040,2020-2021
Akan,2.1,23-3620-055,2020-2021
Arabic,2.1,23-3620-055,2020-2021
English,65.9,23-3620-055,2020-2021
Other,9.8,23-3620-055,2020-2021
Spanish,20.2,23-3620-055,2020-2021
English,70.9,23-3620-060,2020-2021
Gujarati,2.5,23-3620-060,2020-2021
Hindi,2.9,23-3620-060,2020-2021
Other,9.4,23-3620-060,2020-2021
Spanish,11.6,23-3620-060,2020-2021
Telugu,2.7,23-3620-060,2020-2021
English,61.7,23-3620-065,2020-2021
Gujarati,1.7,23-3620-065,2020-2021
Other,8.7,23-3620-065,2020-2021
Spanish,26.7,23-3620-065,2020-2021
Telugu,1.2,23-3620-065,2020-2021
English,65.8,23-3620-070,2020-2021
Gujarati,1.0,23-3620-070,2020-2021
Hindi,1.2,23-3620-070,2020-2021
Other,7.4,23-3620-070,2020-2021
Spanish,21.9,23-3620-070,2020-2021
Telugu,2.7,23-3620-070,2020-2021
Arabic,1.6,23-3620-090,2020-2021
English,51.7,23-3620-090,2020-2021
Other,4.9,23-3620-090,2020-2021
Spanish,38.1,23-3620-090,2020-2021
Telugu,2.2,23-3620-090,2020-2021
Urdu,1.5,23-3620-090,2020-2021
English,67.6,23-3620-300,2020-2021
Other,5.9,23-3620-300,2020-2021
Spanish,25.2,23-3620-300,2020-2021
Urdu,1.4,23-3620-300,2020-2021
Arabic,1.0,23-3845-040,2020-2021
English,91.4,23-3845-040,2020-2021
Other,5.4,23-3845-040,2020-2021
Spanish,2.2,23-3845-040,2020-2021
English,78.8,23-3845-082,2020-2021
Gujarati,1.8,23-3845-082,2020-2021
Other,8.4,23-3845-082,2020-2021
Spanish,8.4,23-3845-082,2020-2021
Ukrainian,1.5,23-3845-082,2020-2021
Urdu,1.1,23-3845-082,2020-2021
Arabic,1.1,23-3845-103,2020-2021
English,86.8,23-3845-103,2020-2021
Gujarati,1.2,23-3845-103,2020-2021
Other,5.9,23-3845-103,2020-2021
Spanish,2.6,23-3845-103,2020-2021
Urdu,2.3,23-3845-103,2020-2021
Arabic,1.0,23-3845-108,2020-2021
Bengali,1.0,23-3845-108,2020-2021
English,90.5,23-3845-108,2020-2021
Other,3.7,23-3845-108,2020-2021
Spanish,3.9,23-3845-108,2020-2021
English,91.4,23-3845-110,2020-2021
Other,6.4,23-3845-110,2020-2021
Spanish,2.2,23-3845-110,2020-2021
Arabic,3.1,23-3845-113,2020-2021
English,74.0,23-3845-113,2020-2021
Other,13.5,23-3845-113,2020-2021
Polish,2.6,23-3845-113,2020-2021
Spanish,2.1,23-3845-113,2020-2021
Urdu,4.7,23-3845-113,2020-2021
Arabic,2.5,23-3845-120,2020-2021
English,78.0,23-3845-120,2020-2021
Gujarati,2.9,23-3845-120,2020-2021
Other,7.9,23-3845-120,2020-2021
Spanish,5.1,23-3845-120,2020-2021
Urdu,3.6,23-3845-120,2020-2021
English,81.5,23-3845-130,2020-2021
Gujarati,2.0,23-3845-130,2020-2021
Other,7.9,23-3845-130,2020-2021
Russian,1.2,23-3845-130,2020-2021
Spanish,3.7,23-3845-130,2020-2021
Urdu,3.7,23-3845-130,2020-2021
Chinese,1.2,23-3845-133,2020-2021
English,92.6,23-3845-133,2020-2021
Other,6.1,23-3845-133,2020-2021
English,94.4,23-3845-140,2020-2021
Other,4.6,23-3845-140,2020-2021
Spanish,1.0,23-3845-140,2020-2021
English,95.3,23-3845-150,2020-2021
Other,3.4,23-3845-150,2020-2021
Spanish,1.3,23-3845-150,2020-2021
Arabic,1.1,23-3845-163,2020-2021
English,92.3,23-3845-163,2020-2021
Other,3.3,23-3845-163,2020-2021
Polish,1.1,23-3845-163,2020-2021
Spanish,2.2,23-3845-163,2020-2021
Chinese,1.2,23-3845-165,2020-2021
English,87.9,23-3845-165,2020-2021
Gujarati,3.2,23-3845-165,2020-2021
Other,6.5,23-3845-165,2020-2021
Panjabi,1.2,23-3845-165,2020-2021
English,83.7,23-3845-170,2020-2021
Gujarati,2.1,23-3845-170,2020-2021
Other,5.3,23-3845-170,2020-2021
Russian,4.6,23-3845-170,2020-2021
Spanish,3.2,23-3845-170,2020-2021
Ukrainian,1.1,23-3845-170,2020-2021
English,29.4,23-4090-050,2020-2021
Other,0.6,23-4090-050,2020-2021
Spanish,70.0,23-4090-050,2020-2021
English,38.8,23-4090-065,2020-2021
Other,1.3,23-4090-065,2020-2021
Spanish,59.9,23-4090-065,2020-2021
English,21.6,23-4090-070,2020-2021
Other,0.3,23-4090-070,2020-2021
Spanish,78.0,23-4090-070,2020-2021
English,27.3,23-4090-075,2020-2021
Other,0.2,23-4090-075,2020-2021
Spanish,72.6,23-4090-075,2020-2021
English,39.4,23-4090-080,2020-2021
Other,0.9,23-4090-080,2020-2021
Spanish,59.7,23-4090-080,2020-2021
English,23.0,23-4090-130,2020-2021
Spanish,77.0,23-4090-130,2020-2021
English,21.9,23-4090-140,2020-2021
Other,0.4,23-4090-140,2020-2021
Spanish,77.6,23-4090-140,2020-2021
English,41.9,23-4090-145,2020-2021
Other,1.9,23-4090-145,2020-2021
Spanish,56.2,23-4090-145,2020-2021
English,38.2,23-4090-150,2020-2021
Other,1.1,23-4090-150,2020-2021
Spanish,60.7,23-4090-150,2020-2021
English,27.9,23-4090-200,2020-2021
Other,0.3,23-4090-200,2020-2021
Spanish,71.8,23-4090-200,2020-2021
English,19.5,23-4090-300,2020-2021
Other,0.8,23-4090-300,2020-2021
Spanish,79.7,23-4090-300,2020-2021
English,23.7,23-4090-301,2020-2021
Other,0.5,23-4090-301,2020-2021
Spanish,75.8,23-4090-301,2020-2021
English,71.1,23-4130-050,2020-2021
Gujarati,7.1,23-4130-050,2020-2021
Other,8.4,23-4130-050,2020-2021
Spanish,10.0,23-4130-050,2020-2021
Tagalog,1.4,23-4130-050,2020-2021
Urdu,1.8,23-4130-050,2020-2021
Arabic,3.1,23-4130-053,2020-2021
English,75.9,23-4130-053,2020-2021
Gujarati,3.1,23-4130-053,2020-2021
Other,8.7,23-4130-053,2020-2021
Spanish,6.0,23-4130-053,2020-2021
Urdu,3.3,23-4130-053,2020-2021
English,68.6,23-4130-055,2020-2021
Gujarati,9.6,23-4130-055,2020-2021
Other,7.4,23-4130-055,2020-2021
Spanish,10.2,23-4130-055,2020-2021
Urdu,2.0,23-4130-055,2020-2021
Vietnamese,2.2,23-4130-055,2020-2021
English,69.1,23-4130-057,2020-2021
Gujarati,7.0,23-4130-057,2020-2021
Other,7.6,23-4130-057,2020-2021
Spanish,12.7,23-4130-057,2020-2021
Urdu,2.1,23-4130-057,2020-2021
Vietnamese,1.6,23-4130-057,2020-2021
English,64.7,23-4130-060,2020-2021
Gujarati,8.4,23-4130-060,2020-2021
Other,11.5,23-4130-060,2020-2021
Spanish,10.9,23-4130-060,2020-2021
Telugu,2.3,23-4130-060,2020-2021
Urdu,2.1,23-4130-060,2020-2021
English,55.2,23-4130-065,2020-2021
Gujarati,10.5,23-4130-065,2020-2021
Hindi,3.2,23-4130-065,2020-2021
Other,12.4,23-4130-065,2020-2021
Spanish,15.2,23-4130-065,2020-2021
Tamil,3.6,23-4130-065,2020-2021
English,62.6,23-4130-080,2020-2021
Gujarati,7.8,23-4130-080,2020-2021
Hindi,2.1,23-4130-080,2020-2021
Other,13.1,23-4130-080,2020-2021
Spanish,11.9,23-4130-080,2020-2021
Urdu,2.5,23-4130-080,2020-2021
English,63.6,23-4130-100,2020-2021
Gujarati,6.3,23-4130-100,2020-2021
Other,16.2,23-4130-100,2020-2021
Spanish,3.8,23-4130-100,2020-2021
Telugu,3.2,23-4130-100,2020-2021
