grade06,grade07,grade08,grade09,grade10,grade11,grade12,county_district_school_code,economically_disadvantaged,english_learners,female,homeless,male,migrant,military_connected,in_foster_care,with_disabilities,american_indian_or_alaska_native,asian,black_or_african_american,hispanic,native_hawaiian_or_pacific_islander,two_or_more_races,white,academic_year
0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-1960-055,53.9,14.7,49.0,0.7,51.0,1.4,0.1,0.5,14.1,0.1,0.5,3.3,35.7,0.0,1.5,59.0,2018-2019
213.0,338.0,339.0,0.0,0.0,0.0,0.0,01-1960-060,45.5,2.7,45.7,0.9,54.3,0.9,0.0,0.1,16.7,0.2,0.4,3.1,26.7,0.0,1.1,68.3,2018-2019
104.0,95.0,95.0,0.0,0.0,0.0,0.0,01-2680-020,11.4,0.8,49.9,0.8,50.1,0.0,1.6,0.0,11.9,0.0,5.2,1.6,10.1,0.3,5.2,77.7,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-2680-050,10.5,0.9,45.8,0.5,54.2,0.0,4.3,0.2,27.2,0.0,5.9,2.1,8.5,0.0,3.9,79.6,2018-2019
0.0,0.0,0.0,319.0,314.0,296.0,315.0,01-2910-050,25.0,1.0,50.5,0.1,49.5,0.0,0.0,0.4,18.0,0.0,5.7,4.9,17.0,0.0,4.3,68.0,2018-2019
48.0,39.0,41.0,0.0,0.0,0.0,0.0,01-3020-010,7.7,1.1,43.6,0.6,56.4,0.0,0.6,0.0,15.5,1.1,1.1,0.0,3.9,0.0,3.3,90.6,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-3020-025,9.1,2.3,46.6,1.1,53.4,0.0,2.3,0.6,22.2,0.0,1.1,0.0,4.5,1.1,1.7,91.5,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-3480-020,46.2,0.3,48.9,1.4,51.1,0.0,0.3,0.8,22.4,0.0,0.0,5.2,24.6,0.0,1.9,68.3,2018-2019
88.0,85.0,69.0,0.0,0.0,0.0,0.0,01-3480-025,41.9,0.6,51.9,0.6,48.1,0.0,0.6,0.0,15.0,0.0,0.0,5.9,20.0,0.0,1.6,72.5,2018-2019
106.0,103.0,106.0,0.0,0.0,0.0,0.0,01-3720-056,20.9,1.2,48.2,0.2,51.8,0.0,0.2,0.2,18.0,0.0,5.8,1.7,10.9,0.0,1.7,79.8,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-3720-057,23.8,2.8,50.2,0.0,49.8,0.0,2.1,0.2,23.6,0.0,6.4,1.7,12.8,0.2,3.2,75.7,2018-2019
0.0,0.0,0.0,231.0,189.0,167.0,186.0,01-4180-050,75.2,16.2,45.9,1.0,54.1,0.1,0.3,0.3,15.2,0.0,1.8,32.9,64.1,0.5,0.1,0.6,2018-2019
246.0,285.0,237.0,0.0,0.0,0.0,0.0,01-4180-055,86.2,8.7,49.7,1.4,50.3,0.1,0.1,0.5,17.3,0.0,1.7,32.4,62.9,1.0,0.8,1.2,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-4180-060,98.4,50.2,52.5,0.2,47.5,0.0,0.0,0.7,13.9,0.0,2.5,12.6,82.6,0.0,0.0,2.3,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-4180-080,92.1,23.9,47.1,0.6,52.9,0.0,0.2,0.2,18.8,0.5,0.9,36.7,59.1,0.2,0.5,2.2,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-4180-085,92.5,25.3,44.2,1.9,55.8,0.0,0.3,1.1,18.9,0.0,0.0,32.9,64.7,0.3,0.5,1.6,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-4180-095,89.4,21.6,50.0,1.4,50.0,0.0,0.0,0.8,12.4,0.0,1.0,36.5,60.0,0.0,0.8,1.6,2018-2019
,,,,,,,01-4180-100,,,,,,,,,,,,,,,,,2018-2019
10.0,6.0,7.0,0.0,0.0,0.0,0.0,01-4240-050,4.9,0.0,46.1,0.0,53.9,0.0,3.9,0.0,11.8,0.0,0.0,1.0,0.0,0.0,1.0,98.0,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-4800-050,69.3,12.3,50.1,1.3,49.9,0.0,0.8,1.3,23.6,0.3,1.6,13.9,33.9,0.0,5.8,44.6,2018-2019
83.0,84.0,97.0,0.0,0.0,0.0,0.0,01-4800-055,62.6,4.4,49.2,0.9,50.8,0.0,0.0,0.2,18.3,0.7,2.8,14.6,31.6,0.2,7.0,43.2,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-4800-060,64.4,0.0,42.5,2.7,57.5,0.0,0.0,2.7,31.5,0.0,1.4,16.4,24.7,0.0,8.2,49.3,2018-2019
91.0,55.0,65.0,0.0,0.0,0.0,0.0,01-5350-040,58.1,4.0,49.5,1.4,50.5,0.0,0.0,0.7,12.3,0.4,14.8,3.6,40.1,0.0,2.9,38.3,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-5350-045,62.1,4.8,46.9,1.9,53.1,0.0,0.3,0.3,17.5,0.0,10.1,4.0,37.4,0.0,4.2,44.3,2018-2019
16.0,19.0,16.0,0.0,0.0,0.0,0.0,01-5760-020,50.6,0.0,50.0,0.0,50.0,0.0,0.0,0.0,27.7,0.0,1.2,11.4,8.4,0.0,1.2,77.7,2018-2019
99.0,111.0,122.0,0.0,0.0,0.0,0.0,03-0040-010,0.8,1.4,50.2,0.0,49.8,0.0,0.0,0.0,11.8,0.2,16.7,0.8,5.8,0.2,1.9,74.4,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-0040-020,0.5,1.3,50.0,0.0,50.0,0.0,0.0,0.0,11.3,0.0,15.1,1.1,6.2,0.0,6.7,71.0,2018-2019
18.0,17.0,13.0,0.0,0.0,0.0,0.0,03-0080-010,0.0,0.7,50.7,0.0,49.3,0.0,0.0,0.0,15.5,0.0,18.2,6.1,7.4,0.0,10.8,57.4,2018-2019
3.0,4.0,3.0,4.0,6.0,4.0,29.0,03-0285-002,13.3,0.0,41.0,1.2,59.0,0.0,0.0,0.0,100.0,0.0,7.2,13.3,47.0,0.0,1.2,31.3,2018-2019
9.0,8.0,9.0,6.0,5.0,11.0,6.0,03-0285-030,29.9,5.6,48.6,0.0,51.4,0.0,0.7,0.7,100.0,0.0,10.4,9.0,52.8,0.0,0.0,27.8,2018-2019
5.0,1.0,2.0,6.0,7.0,8.0,8.0,03-0285-040,11.7,0.0,30.0,0.0,70.0,0.0,0.0,0.0,100.0,0.0,1.7,13.3,40.0,0.0,0.0,45.0,2018-2019
11.0,11.0,11.0,13.0,18.0,17.0,13.0,03-0285-050,21.0,0.7,23.9,1.4,76.1,0.0,0.0,2.2,99.3,0.7,3.6,17.4,37.7,0.0,2.9,37.7,2018-2019
0.0,1.0,0.0,4.0,4.0,5.0,53.0,03-0285-070,13.0,5.8,30.4,0.0,69.6,0.0,0.0,1.4,100.0,0.0,5.8,14.5,23.2,0.0,1.4,55.1,2018-2019
15.0,10.0,13.0,21.0,21.0,20.0,41.0,03-0285-100,21.5,1.0,21.5,1.4,78.5,0.0,0.0,0.5,100.0,0.0,15.8,11.5,32.5,1.0,0.5,38.8,2018-2019
0.0,0.0,0.0,267.0,286.0,262.0,275.0,03-0290-020,6.6,0.0,52.5,0.0,47.5,0.1,0.0,0.0,1.0,0.0,51.5,2.5,7.7,0.7,0.0,37.6,2018-2019
0.0,0.0,0.0,71.0,85.0,76.0,75.0,03-0290-030,31.3,4.6,37.8,0.0,62.2,0.0,0.0,0.0,99.7,0.3,2.6,12.4,31.3,0.3,0.0,53.0,2018-2019
0.0,0.0,0.0,169.0,159.0,175.0,165.0,03-0290-070,9.9,0.0,50.9,0.0,49.1,0.0,0.0,0.0,6.2,0.3,29.6,7.4,19.2,1.1,0.0,42.5,2018-2019
0.0,0.0,0.0,26.0,35.0,27.0,22.0,03-0290-075,35.2,0.0,58.4,0.5,41.6,0.0,0.5,0.5,26.5,0.0,0.5,11.4,33.3,0.0,0.0,54.8,2018-2019
0.0,0.0,0.0,64.0,30.0,29.0,27.0,03-0290-300,16.0,0.7,43.3,0.0,56.7,0.0,0.0,0.0,8.7,0.0,9.3,7.3,30.0,0.0,0.0,53.3,2018-2019
0.0,0.0,0.0,319.0,279.0,282.0,283.0,03-0300-020,37.9,4.3,48.4,0.3,51.6,0.0,0.2,0.0,13.7,0.0,26.5,8.9,50.8,0.4,1.2,12.2,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-0300-040,26.7,7.8,50.3,0.3,49.7,0.0,0.0,0.3,7.8,0.3,28.3,4.2,52.5,1.1,2.2,11.4,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-0300-050,59.5,15.1,43.7,2.4,56.3,0.0,0.4,0.0,20.2,0.0,24.6,8.7,59.5,0.8,2.8,3.6,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-0300-060,24.5,5.6,52.8,0.0,47.2,0.0,0.0,0.0,8.6,0.0,23.8,7.4,46.8,0.4,3.3,18.2,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-0300-070,29.6,11.1,41.2,0.2,58.8,0.0,0.2,0.2,37.4,0.0,20.6,9.0,50.2,0.5,3.3,16.4,2018-2019
272.0,289.0,266.0,0.0,0.0,0.0,0.0,03-0300-075,41.7,5.3,48.4,0.2,51.6,0.0,0.2,0.2,14.4,0.2,25.7,6.5,55.1,0.4,1.9,10.1,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-0300-080,35.2,13.1,51.0,0.0,49.0,0.0,0.0,0.0,10.3,0.0,26.9,7.2,49.7,0.3,2.8,13.1,2018-2019
0.0,79.0,82.0,98.0,82.0,78.0,97.0,03-0440-020,47.7,4.7,46.3,0.6,53.7,0.0,0.4,0.0,15.3,0.2,5.6,7.6,52.3,1.2,0.2,32.9,2018-2019
33.0,0.0,0.0,0.0,0.0,0.0,0.0,03-0440-030,48.9,7.7,45.6,0.4,54.4,0.0,0.0,0.0,28.1,0.0,5.8,7.7,66.8,0.0,0.4,19.3,2018-2019
42.0,0.0,0.0,0.0,0.0,0.0,0.0,03-0440-050,44.9,6.1,49.7,0.6,50.3,0.0,0.3,0.0,16.3,0.0,12.5,9.6,65.1,0.0,1.3,11.5,2018-2019
56.0,60.0,67.0,0.0,0.0,0.0,0.0,03-0740-050,28.2,11.8,49.7,0.2,50.3,0.0,0.0,0.5,16.3,0.0,8.1,5.1,29.1,0.2,0.9,56.6,2018-2019
0.0,0.0,0.0,123.0,131.0,128.0,111.0,03-0745-050,32.8,3.7,49.9,0.4,50.1,0.0,0.0,0.4,13.8,0.2,10.0,6.1,35.0,0.2,0.8,47.8,2018-2019
0.0,0.0,0.0,319.0,317.0,273.0,261.0,03-0890-030,51.9,16.7,50.9,0.2,49.1,0.0,0.1,0.2,13.8,0.2,2.6,1.3,67.9,0.1,0.2,27.8,2018-2019
46.0,0.0,0.0,0.0,0.0,0.0,0.0,03-0890-050,77.6,10.5,49.3,0.3,50.7,0.0,0.0,0.0,15.7,0.0,2.1,1.4,68.9,0.0,0.0,27.6,2018-2019
37.0,0.0,0.0,0.0,0.0,0.0,0.0,03-0890-060,53.0,16.0,48.3,1.0,51.7,0.0,0.2,0.3,22.4,1.7,7.1,2.4,49.1,0.3,0.7,38.5,2018-2019
29.0,0.0,0.0,0.0,0.0,0.0,0.0,03-0890-070,58.4,15.8,45.7,0.6,54.3,0.0,0.0,0.6,19.9,0.0,3.6,5.0,64.0,0.0,0.3,27.1,2018-2019
61.0,202.0,210.0,0.0,0.0,0.0,0.0,03-0890-080,50.9,6.8,47.1,0.0,52.9,0.0,0.0,0.0,21.1,0.0,6.6,2.1,50.0,0.0,0.4,40.9,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-0930-050,1.0,11.6,48.7,0.0,51.3,0.0,0.1,0.0,15.7,0.0,40.7,0.4,6.7,0.9,3.1,48.2,2018-2019
132.0,130.0,123.0,0.0,0.0,0.0,0.0,03-0930-060,0.8,4.9,47.0,0.0,53.0,0.0,0.0,0.0,14.4,0.4,43.5,1.0,6.8,0.4,1.4,46.6,2018-2019
0.0,0.0,0.0,135.0,135.0,127.0,139.0,03-0990-040,1.3,2.3,44.8,0.0,55.2,0.0,0.0,0.0,15.9,0.0,32.9,0.7,6.5,0.0,0.5,59.4,2018-2019
150.0,137.0,141.0,0.0,0.0,0.0,0.0,03-0990-045,0.9,5.8,47.0,0.0,53.0,0.0,0.0,0.0,11.0,0.0,34.3,1.2,4.9,0.2,2.8,56.5,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-0990-050,0.2,13.3,50.4,0.0,49.6,0.0,0.0,0.0,15.4,0.0,35.8,1.0,5.6,0.0,1.9,55.6,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-0990-060,0.0,13.8,47.8,0.0,52.2,0.0,0.0,0.0,15.6,0.0,43.8,0.9,6.3,0.0,3.7,45.2,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-1070-030,0.0,3.0,42.2,0.0,57.8,0.0,0.0,0.0,12.7,0.0,32.5,0.0,3.6,0.0,3.6,60.2,2018-2019
81.0,81.0,72.0,0.0,0.0,0.0,0.0,03-1070-040,0.3,3.2,50.0,0.0,50.0,0.0,0.3,0.0,13.9,0.0,30.0,0.0,4.8,0.0,2.3,62.9,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-1070-050,0.5,1.8,45.4,0.0,54.6,0.0,0.0,0.0,23.4,0.0,34.4,0.0,6.0,0.0,2.3,57.3,2018-2019
0.0,0.0,0.0,199.0,211.0,197.0,195.0,03-1130-040,7.7,2.5,52.0,0.2,48.0,0.7,0.0,0.0,9.2,0.7,13.0,2.7,25.2,2.1,0.2,55.9,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-1130-050,7.6,3.9,48.4,0.0,51.6,0.0,0.0,0.0,16.0,0.3,17.3,2.6,30.4,0.5,0.5,48.4,2018-2019
106.0,109.0,118.0,0.0,0.0,0.0,0.0,03-1130-060,11.9,4.3,52.8,0.3,47.2,0.0,0.0,0.0,12.7,0.5,17.3,5.3,30.0,0.8,0.2,45.9,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-1130-070,12.0,10.1,46.2,0.0,53.8,1.3,0.0,0.0,15.8,1.3,19.6,7.6,27.2,0.6,0.0,43.7,2018-2019
85.0,86.0,87.0,0.0,0.0,0.0,0.0,03-1130-080,6.9,2.8,48.6,0.0,51.4,0.0,0.0,0.0,22.0,0.2,17.9,4.5,23.8,1.1,0.2,52.3,2018-2019
91.0,77.0,96.0,0.0,0.0,0.0,0.0,03-1230-040,36.2,2.9,54.2,0.9,45.8,0.0,0.0,0.0,16.6,0.6,12.8,8.5,39.1,0.3,1.5,37.3,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-1230-080,28.4,5.1,46.9,0.9,53.1,0.0,0.0,0.2,15.8,0.4,26.9,5.1,38.4,0.0,4.0,25.1,2018-2019
93.0,0.0,0.0,0.0,0.0,0.0,0.0,03-1270-050,12.7,10.9,44.9,0.0,55.1,0.0,0.2,0.0,13.0,0.0,37.7,6.3,20.6,0.2,6.0,29.2,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-1270-300,6.8,21.2,48.9,0.0,51.1,0.0,0.2,0.0,10.9,0.0,45.8,4.8,14.9,0.0,5.0,29.5,2018-2019
0.0,0.0,0.0,199.0,168.0,173.0,167.0,03-1345-050,39.9,4.0,48.2,1.3,51.8,0.0,0.0,0.0,14.4,0.0,13.7,9.3,37.9,0.0,0.1,39.0,2018-2019
255.0,190.0,190.0,0.0,0.0,0.0,0.0,03-1345-060,43.5,3.6,46.8,1.1,53.2,0.0,0.0,0.0,14.6,0.2,10.1,10.9,37.6,0.2,0.3,40.8,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-1345-070,35.9,0.0,43.1,0.3,56.9,0.0,0.0,0.0,21.1,0.0,10.2,3.9,35.5,0.3,1.3,48.7,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-1345-080,40.8,8.6,47.2,0.7,52.8,0.0,0.0,0.0,13.7,0.0,8.6,12.5,35.5,0.2,0.7,42.5,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-1345-090,45.2,9.5,46.3,0.8,53.7,0.0,0.2,0.2,24.4,0.2,12.8,10.5,43.4,0.2,2.1,30.8,2018-2019
0.0,96.0,78.0,76.0,74.0,89.0,79.0,03-1360-050,6.5,1.0,48.4,0.8,51.6,0.0,0.2,0.0,14.4,0.0,8.9,1.6,12.6,0.4,1.6,74.8,2018-2019
