county_name,district_name,school_name,street_address,city,state,zipcode,zipcode_extn,county_district_school_code
Salem,Pennsville Public School District,Pennsville Middle School,4 WILLIAM PENN AVENUE,PENNSVILLE,NJ,08070,1800,33-4075-055
Morris,Madison Public School District,Madison High School,170 RIDGEDALE AVENUE,MADISON,NJ,07940,,27-2870-050
Essex,Newark Public School District,Chancellor Avenue School,321 CHANCELLOR AVE,NEWARK,NJ,07112,1201,13-3570-330
Bergen,New Milford Public School District,New Milford High School,330 River Road,NEW MILFORD,NJ,07646,,03-3550-050
Charters,LEAD Charter School,LEAD Charter School,201 Bergen Street,Newark,NJ,07103,2402,80-6109-953
Salem,Mannington Township School District,Mannington Township Elementary School,495 ROUTE 45,SALEM,NJ,08079,9801,33-2950-050
Hudson,Hoboken Public School District,Hoboken Middle School,158 Fourth Street,HOBOKEN,NJ,07030,,17-2210-300
Ocean,Lakewood Township School District,Spruce Street Elementary School,90 SPRUCE STREET,LAKEWOOD,NJ,08701,,29-2520-090
Bergen,Saddle Brook School District,Saddle Brook Middle/High School,355 MAYHILL STREET,SADDLE BROOK,NJ,07663,,03-4610-050
Essex,Irvington Public School District,University Elementary School,1 UNIVERSITY PLACE,IRVINGTON,NJ,07111,,13-2330-136
Burlington,Pemberton Township School District,Pemberton Township High School,148 ARNEYS MOUNT ROAD,PEMBERTON,NJ,08068,9701,05-4050-055
Cape May,North Wildwood School District,Margaret Mace Elementary School,1201 Atlantic Avenue,North Wildwood,NJ,08260,,09-3680-060
Monmouth,Middletown Township Public School District,New Monmouth Elementary School,121 NEW MONMOUTH ROAD,MIDDLETOWN,NJ,07748,2298,25-3160-143
Middlesex,Milltown School District,Joyce Kilmer School,21 West Church Street,Milltown,NJ,08850,,23-3220-050
Atlantic,Hammonton School District,Hammonton Middle School,75 NORTH LIBERTY STREET,HAMMONTON,NJ,08037,9425,01-1960-060
Salem,Alloway Twp School District,Alloway Township School,43 CEDAR ST,ALLOWAY,NJ,08001,,33-0060-020
Burlington,Evesham Township School District,Frances DeMasi Middle School,199 EVESBORO  MEDFORD RD,MARLTON,NJ,08053,,05-1420-040
Camden,Berlin Township School District,Dwight D Eisenhower Middle School,235 Grove Avenue,West Berlin,NJ,08091,,07-0340-030
Salem,The Lower Alloways Creek School District,Lower Alloways Creek Elementary School,967 MAIN ST CANTON,SALEM,NJ,08079,,33-2800-050
Cape May,Cape May City School District,Cape May City Elementary School,921 LAFAYETTE ST,CAPE MAY,NJ,08204,1646,09-0710-050
Essex,Caldwell-West Caldwell School District,Washington Elementary School,201 CENTRAL AVE,WEST CALDWELL,NJ,07006,,13-0660-110
Passaic,Passaic City School District,School No. 5,168 Monroe St.,Passaic,NJ,07055,,31-3970-097
Monmouth,LONG BRANCH PUBLIC SCHOOL District,George L Catrambone,240 Park Avenue,Long Branch,NJ,07740,,25-2770-300
Burlington,Maple Shade School District,Ralph J. Steinhauer Elementary School,25 NORTH FELLOWSHIP ROAD,MAPLE SHADE,NJ,08052,,05-3010-100
Burlington,Burlington County Special Services School District,Westampton Campus,20 PIONEER BLVD,WESTAMPTON,NJ,08060,3824,05-0605-030
Monmouth,Freehold Township School District,Dwight D. Eisenhower School,279 BURLINGTON ROAD,FREEHOLD,NJ,07728,1599,25-1660-024
Union,Union County Educational Services Commission,Work Readiness Academy,45 Cardinal Drive,Westfield,NJ,07090,,39-5245-300
Hudson,Hoboken Public School District,Hoboken High School,NINTH & CLINTON STS,HOBOKEN,NJ,07030,,17-2210-005
Camden,Waterford Township School District,Thomas Richards Elementary School,934 Lincoln Avenue,Atco,NJ,08004,1325,07-5560-060
Bergen,North Arlington School District,North Arlington High School,222 Ridge Road,North Arlington,NJ,07031,,03-3600-050
Bergen,River Edge School District,Roosevelt School,711 SUMMIT AVE,RIVER EDGE,NJ,07661,2201,03-4410-050
Mercer,Trenton Public School District,Franklin Elementary School,200 William Street,Trenton,NJ,08610,,21-5210-190
Hudson,Hoboken Public School District,Joseph F Brandt Elementary School,215 NINTH STREET,HOBOKEN,NJ,07030,,17-2210-050
Atlantic,Egg Harbor Township School District,Egg Harbor Township High School,24 HIGH SCHOOL DRIVE,EGG HARBOR TOWNSHIP,NJ,08234,9450,01-1310-005
Hunterdon,Lebanon Township School District,Woodglen School,70 BUNNVALE ROAD,CALIFON,NJ,07830,9231,19-2600-050
Middlesex,Sayreville School District,Woodrow Wilson Elementary School,65 DANE STREET,SAYREVILLE,NJ,08872,,23-4660-120
Union,Summit Public School District,Summit High School,125 KENT PLACE BLVD,SUMMIT,NJ,07901,4703,39-5090-050
Monmouth,Monmouth County Vocational School District,Biotechnology High School,5000 KOZLOSKI ROAD,FREEHOLD,NJ,07728,5033,25-3260-028
Atlantic,Egg Harbor Township School District,Fernwood Avenue Middle School,4034 FERNWOOD AVENUE,EGG HARBOR TOWNSHIP,NJ,08234,5703,01-1310-039
Camden,Runnemede Public School District,Aline Bingham Elementary School,100 FIRST & ORCHARD AVE,RUNNEMEDE,NJ,08078,,07-4590-020
Charters,Dr Lena Edwards Academic Charter School,Dr Lena Edwards Academic Charter School,509 Bramhall Ave.,Jersey City,NJ,07304,,80-6064-946
Middlesex,North Brunswick Township School District,Livingston Park,1128 LIVINGSTON AVENUE,NORTH BRUNSWICK,NJ,08902,,23-3620-070
Somerset,Montgomery Township School District,Montgomery Lower Middle School,373 Burnt Hill Road,Skillman,NJ,08558,,35-3320-045
Gloucester,Washington Township School District,Wedgwood Elementary School,236 HURFFVILLE RD,SEWELL,NJ,08080,9475,15-5500-060
Sussex,Hopatcong Borough School District,Hudson Maxim Elementary School,452 LAKESIDE BLVD,HOPATCONG,NJ,07843,,37-2240-050
Mercer,Trenton Public School District,Parker Elementary,820 S Warren St,Trenton,NJ,08611,,21-5210-270
Bergen,South  Bergen Jointure Commission School District,Lodi MS HS,123 UNION ST,LODI,NJ,07644,,03-4845-050
Mercer,West Windsor-Plainsboro Regional School District,West Windsor-Plainsboro High School South,346 CLARKSVILLE ROAD,West Windsor,NJ,08550,,21-5715-020
Charters,Englewood on the Palisades Charter School,Englewood on the Palisades Charter School,65  WEST DEMAREST AVENUE,ENGLEWOOD,NJ,07631,,80-6430-930
Warren,Greenwich Township School District,Stewartsville Middle School,642 SOUTH MAIN STREET,STEWARTSVILLE,NJ,08886,9756,41-1840-070
Essex,East Orange School District,Ecole Toussaint Louverture,330 CENTRAL AVE,EAST ORANGE,NJ,07018,2802,13-1210-120
Union,Linden Public School District,Number 4,1602 DILL AVENUE,LINDEN,NJ,07036,,39-2660-115
Middlesex,Perth Amboy Public School District,Dual Language School,630 Amboy Avenue,Fords,NJ,08863,,23-4090-300
Camden,Voorhees Township School District,Osage School,112 Somerdale Road,VOORHEES,NJ,08043,9545,07-5400-090
Ocean,Toms River Regional School District,Toms River Intermediate School North,150 INTERMEDIATE NORTH WAY,TOMS RIVER,NJ,08753,,29-5190-063
Middlesex,South Plainfield School District,Roosevelt Elementary School,135 JACKSON AVENUE,SOUTH PLAINFIELD,NJ,07080,,23-4910-080
Monmouth,Matawan-Aberdeen Regional School District,Ravine Drive Elementary School,170 RAVINE DRIVE,MATAWAN,NJ,07747,2800,25-3040-075
Bergen,Closter Public School District,Hillside Elementary School,340 Homans Avenue,CLOSTER,NJ,07624,2907,03-0930-050
