county_name,district_name,school_name,street_address,city,state,zipcode,zipcode_extn,county_district_school_code
Middlesex,Educational Services Commission of New Jersey,Center for Lifelong Learning,333 CHEESEQUAKE RD,PARLIN,NJ,08859,,23-3145-031
Morris,Kinnelon School District,Kiel Elementary School,115 KIEL AVENUE,KINNELON,NJ,07405,,27-2460-060
Morris,Jefferson Township Public School District,Jefferson Township Middle School,1000 WELDON ROAD,OAK RIDGE,NJ,07438,9511,27-2380-045
Camden,Cherry Hill School District,Kingston Elementary School,320 Kingston Rd.,CHERRY HILL,NJ,08034,1600,07-0800-110
Middlesex,South River Public School District,South River Elementary School,81 JOHNSON PLACE,SOUTH RIVER,NJ,08882,,23-4920-065
Camden,Gloucester Township Public Schools,Gloucester Township Elementary School,270 SOUTH BLACK HORSE PIKE,BLACKWOOD,NJ,08012,2996,07-1780-070
Middlesex,Woodbridge Township School District,Claremont Avenue Elementary School,CLAREMONT AVENUE,COLONIA,NJ,07067,,23-5850-120
Essex,Nutley Public School District,Nutley High School,300 FRANKLIN AVE,NUTLEY,NJ,07110,2734,13-3750-050
Atlantic,Galloway Township Public Schools,Roland Rogers Elementary School,105 S  REEDS ROAD,GALLOWAY,NJ,08205,,01-1690-046
Gloucester,Mantua Township School District,Centre City Elementary School,301 COLUMBUS DR,MANTUA,NJ,08051,,15-2990-030
Monmouth,Freehold Borough School District,Park Avenue Elementary School,280 Park Ave.,Freehold,NJ,07728,2006,25-1640-070
Sussex,Sparta Township Public School District,Helen Morgan School,100 STANHOPE ROAD,SPARTA,NJ,07871,,37-4960-060
Hudson,North Bergen School District,North Bergen High School,7417 KENNEDY BLVD,N BERGEN,NJ,07047,5916,17-3610-050
Atlantic,Pleasantville Public School District,Pleasantville High School,701 MILL ROAD,PLEASANTVILLE,NJ,08232,,01-4180-050
Essex,East Orange School District,Langston Hughes Elementary School,160 Rhode Island Avenue,EAST ORANGE,NJ,07018,2438,13-1210-080
Gloucester,Paulsboro School District,Paulsboro Junior High School,670 N Delaware Street,Paulsboro,NJ,08066,,15-4020-300
Salem,Salem County Special Services School District,Alternative Middle & High School,Salem Community College,Carney's Point,NJ,08069,,33-4635-301
Bergen,Cresskill Public School District,Cresskill Middle School,1 LINCOLN DR,CRESSKILL,NJ,07626,,03-0990-045
Somerset,Branchburg Township School District,Whiton Elementary School,470 Whiton Road,NESHANIC STATION,NJ,08853,,35-0510-090
Ocean,Jackson Township School District,Jackson Liberty High School,125 North Hope Chapel Road,Jackson,NJ,08527,3497,29-2360-025
Essex,Caldwell-West Caldwell School District,James Caldwell High School,265 WESTVILLE AVE,WEST CALDWELL,NJ,07006,,13-0660-050
Bergen,Bergen County Vocational Technical School District,Applied Technology High School,400 Paramus Road,Paramus,NJ,07652,,03-0290-300
Burlington,Pemberton Township School District,Isaiah Haines,125 B Trenton Rd.,Browns Mills,NJ,08015,,05-4050-301
Ocean,Lacey Township School District,Lacey Township High School,73 HAINES STREET,LANOKA HARBOR,NJ,08734,,29-2480-020
Burlington,Riverton School District,Riverton School District,600 FIFTH STREET,RIVERTON,NJ,08077,,05-4460-050
Bergen,Palisades Park School District,Charles R Smith Early Childhood Center,271 SECOND STREET,PALISADES PARK,NJ,07650,,03-3910-080
Atlantic,Folsom Borough School District,Folsom Elementary School,1357 Mays Landing Road,Folsom,NJ,08037,,01-1540-050
Essex,Newark Public School District,Oliver Street School,86 OLIVER ST,NEWARK,NJ,07105,,13-3570-590
Middlesex,South River Public School District,South River Primary School,22 DAVID STREET,SOUTH RIVER,NJ,08882,,23-4920-070
Monmouth,Freehold Borough School District,Freehold Intermediate School,280 PARK AVENUE,FREEHOLD,NJ,07728,2096,25-1640-060
Union,Scotch Plains-Fanwood School District,William J. McGinn Elementary School,1100 ROOSEVELT AVENUE,SCOTCH PLAINS,NJ,07076,,39-4670-105
Camden,Barrington School District,Woodland Middle School,1 SCHOOL LANE,BARRINGTON,NJ,08007,,07-0190-030
Somerset,Franklin Township Public Schools,Elizabeth Avenue School,363 Elizabeth Avenue,Somerset,NJ,08873,1105,35-1610-070
Middlesex,North Brunswick Township School District,Arthur M. Judd,1595 ROOSEVELT AVENUE,NORTH BRUNSWICK,NJ,08902,,23-3620-055
Middlesex,Middlesex Borough School District,Parker Elementary School,SOUTH LINCOLN AVENUE,MIDDLESEX,NJ,08846,,23-3140-070
Bergen,Rutherford School District,Union School,359 UNION AVE,RUTHERFORD,NJ,07070,1519,03-4600-100
Middlesex,Middlesex Borough School District,Watchung Elementary School,FISHER AVENUE,MIDDLESEX,NJ,08846,,23-3140-090
Mercer,Trenton Public School District,Joyce Kilmer School,1300 Stuyvesant Avenue,Trenton,NJ,08618,,21-5210-235
Passaic,Passaic City School District,William B. Cruise Memorial School No. 11,390 Gregory Ave.,Passaic,NJ,07055,,31-3970-140
Morris,School District of the Chathams,Milton Avenue School,16 MILTON AVENUE,CHATHAM,NJ,07928,,27-0785-060
Bergen,Allendale Public School District,Brookside School,100 Brookside Avenue,Allendale,NJ,07401,,03-0040-010
Morris,Morris Hills Regional School District,Morris Knolls High School,50 KNOLL DRIVE,DENVILLE,NJ,07834,4099,27-3370-060
Monmouth,Colts Neck Township School District,Conover Road Elementary School,76 CONOVER ROAD,COLTS NECK,NJ,07722,1250,25-0945-050
Hudson,Jersey City Public Schools,Lincoln High School,60 CRESCENT AVE,JERSEY CITY,NJ,07304,2925,17-2390-070
Union,Kenilworth School District,Warren G. Harding Elementary School,426 Boulevard,Kenilworth,NJ,07033,1529,39-2420-050
Union,Garwood Boro,Lincoln,400 SECOND AVENUE,GARWOOD,NJ,07027,,39-1710-050
Union,Plainfield Public School District,Charles H. Stillman Elementary School,201 W FOURTH ST,PLAINFIELD,NJ,07060,4235,39-4160-170
Gloucester,Delsea Regional High School District,Delsea Regional High School,242 FRIES MILL RD,FRANKLINVILLE,NJ,08322,9139,15-4940-050
Morris,Dover Public School District,North Dover Elementary School,51 HIGHLAND AVENUE,DOVER,NJ,07801,,27-1110-070
Bergen,Cliffside Park School District,School #4,279 COLUMBIA AVENUE,CLIFFSIDE PARK,NJ,07010,,03-0890-060
Salem,Salem County Special Services School District,Salem Campus,45 Cheney Road,WOODSTOWN,NJ,08098,9451,33-4635-009
Mercer,Lawrence Township Public School District,Eldridge Park School,55 LAWN PARK AVE,LAWRENCEVILLE,NJ,08648,,21-2580-080
Monmouth,Manalapan-Englishtown Regional Schools School District,Milford Brook School,20 GLOBAR  TERRACE,Manalapan,NJ,07726,1599,25-2920-063
Middlesex,Woodbridge Township School District,Oak Ridge Heights Elementary School,720 INMAN AVENUE,COLONIA,NJ,07067,,23-5850-240
Morris,Randolph Township School District,Ironia School,303 DOVER  CHESTER ROAD,RANDOLPH,NJ,07869,,27-4330-070
Bergen,Fairview Public School District,Lincoln School Annex,130 HAMILTON AVENUE,FAIRVIEW,NJ,07022,,03-1470-065
Monmouth,Freehold Borough School District,Freehold Learning Center,30 Dutch Lane Rd.,Freehold,NJ,07728,2212,25-1640-040
Middlesex,Edison Township School District,Lindeneau Elementary School,50 BLOSSOM STREET,EDISON,NJ,08817,,23-1290-103
Mercer,Trenton Public School District,Wilson Elementary School,175 Girard Avenue,Trenton,NJ,08638,3431,21-5210-310
Union,Summit Public School District,Lawton C. Johnson Summit Middle School,272 MORRIS AVE,SUMMIT,NJ,07901,2526,39-5090-060
Essex,Newark Public School District,Ironbound Academy Elementary School,366 East Kinney Street,Newark,NJ,07105,,13-3570-322
Passaic,Passaic City School District,Abraham Lincoln School Number 24,36 Parker Ave,Passaic,NJ,07055,,31-3970-304
Passaic,Paterson Public School District,School 7,106 RAMSEY STREET,PATERSON,NJ,07501,,31-4010-110
Charters,The Village Charter School,The Village Charter School,101 SULLIVAN WAY,TRENTON,NJ,08638,,80-8140-990
Camden,Collingswood Public School District,James A. Garfield Elementary School,480 HADDON AVE,COLLINGSWOOD,NJ,08108,,07-0940-050
Salem,Pittsgrove Township School District,Pittsgrove Township Middle School,1082 ALMOND ROAD,PITTSGROVE,NJ,08318,,33-4150-070
Monmouth,LONG BRANCH PUBLIC SCHOOL District,Long Branch Middle School,350 INDIANA AVENUE,LONG BRANCH,NJ,07740,6192,25-2770-060
Monmouth,Howell Township Public School District,Ardena Elementary School,355 ADELPHIA ROAD,FARMINGDALE,NJ,07727,3528,25-2290-010
Gloucester,West Deptford Township School District,West Deptford Middle School,675 GROVE RD,WEST DEPTFORD,NJ,08066,1925,15-5620-130
Passaic,Paterson Public School District,School of Education and Training,61-127 PREAKNESS AVENUE,PATERSON,NJ,07502,,31-4010-305
Cumberland,Millville School District,Child Family Center,1100 COOMBS RD.,MILLVILLE,NJ,08332,,11-3230-068
Monmouth,Roosevelt Borough Public School District,Roosevelt Public School,SCHOOL LANE,ROOSEVELT,NJ,08555,0160,25-4520-050
Somerset,Hillsborough Township Public School District,Hillsborough Township Elementary School,435 Route 206,Hillsborough,NJ,08844,,35-2170-040
Ocean,Manchester Township School District,Manchester Township Elementary School,101 N  COLONIAL DRIVE,MANCHESTER,NJ,08733,,29-2940-043
Camden,Audubon Public School Disrict,Mansion Avenue School,300 MANSION AVENUE,AUDUBON,NJ,08106,,07-0150-050
Hudson,Jersey City Public Schools,Martin Center for the Arts,59 WILKINSON AVE,JERSEY CITY,NJ,07305,4227,17-2390-347
Passaic,Paterson Public School District,School 16,11 22ND AVENUE,PATERSON,NJ,07513,,31-4010-309
Somerset,Branchburg Township School District,Stony Brook School,136 Cedar Grove Road,BRANCHBURG,NJ,08876,,35-0510-060
Hudson,Bayonne School District,Horace Mann Community School,25 WEST 38TH STREET,BAYONNE,NJ,07002,,17-0220-060
Bergen,Elmwood Park School District,Gantner Avenue School,99 ROOSEVELT AVE,ELMWOOD PARK,NJ,07407,1152,03-1345-070
Hudson,West New York Board of Education,Robert Menendez Elementary School,600 55TH ST,WEST NEW YORK,NJ,07093,4626,17-5670-070
Union,Elizabeth Public Schools,Jerome Dunn Academy No 9,125 Third Street,Elizabeth,NJ,07206,,39-1320-302
Essex,Millburn Township School District,Hartshorn School,400 HARTSHORN DRIVE,SHORT HILLS,NJ,07078,,13-3190-080
Essex,South Orange-Maplewood School District,Marshall Elementary School,262 GROVE RD,S ORANGE,NJ,07079,2367,13-4900-100
Camden,Haddonfield School District,Central School,THREE LINCOLN AVENUE,HADDONFIELD,NJ,08033,,07-1900-060
Morris,Montville Township School District,Valley View School,30 MONTGOMERY AVENUE,MONTVILLE TOWNSHIP,NJ,07045,,27-3340-055
Monmouth,Middletown Township Public School District,Fairview Elementary School,230 COOPER ROAD,RED BANK,NJ,07701,6010,25-3160-090
Charters,Union County TEAMS Charter School-High School/College LA,Union County TEAMS Charter School,515  517 WEST FOURTH STREET,PLAINFIELD,NJ,07060,,80-8010-980
Morris,Morris School District,Sussex Avenue School,125 SUSSEX AVENUE,MORRISTOWN,NJ,07960,,27-3385-105
Camden,Audubon Public School District,Audubon Park Preschool,2 Road C,Audubon Park,NJ,08106,,07-0150-300
Mercer,Hamilton Township Public School District,University Heights Elementary School,645 PAXSON AVENUE,HAMILTON,NJ,08690,,21-1950-250
Monmouth,Shore Regional High School District,Shore Regional High School,132 MONMOUTH PARK HIGHWAY 36,WEST LONG BRANCH,NJ,07764,1396,25-4760-050
Morris,Rockaway Township School District,Catherine A Dwyer Elementary School,665 MT  HOPE AVENUE,WHARTON,NJ,07885,,27-4490-019
Essex,East Orange School District,Dionne Warwick Institute,120 CENTRAL AVE,EAST ORANGE,NJ,07018,3939,13-1210-110
Monmouth,Hazlet Township Public School District,Raritan Valley School,37 CRESCI BLVD,HAZLET,NJ,07730,1168,25-2105-095
Camden,Camden City School District,Pride Academy,1701 South 6th Street,Camden,NJ,08104,,07-0680-303
Ocean,Lavallette Borough School District,Lavallette Elementary School,105 Brooklyn Ave.,Lavallette,NJ,08735,2321,29-2550-050
Bergen,Westwood Regional School District,Berkeley Elementary,47 BERKELEY AVE,WESTWOOD,NJ,07675,2401,03-5755-060
Ocean,Brick Township Public School District,Veterans Memorial Middle School,105 HENDRICKSON AVENUE,BRICK TOWN,NJ,08724,,29-0530-090
Charters,Hoboken Dual Language Charter School,Hoboken Dual Language Charter School,123 Jefferson Street,HOBOKEN,NJ,07030,,80-6036-921
Morris,Chester School District,Dickerson Elementary School,250 Rt. 24,Chester,NJ,07930,,27-0820-040
Ocean,Central Regional School District,Central Regional High School,509 FOREST HILLS PARKWAY,BAYVILLE,NJ,08721,,29-0770-030
Camden,Camden City School District,Morgan Village Middle School,990 Morgan Boulevard,Camden,NJ,08104,,07-0680-306
Monmouth,Manasquan School District,Manasquan High School,167 Broad Street,Manasquan,NJ,08736,2893,25-2930-050
Bergen,Ramsey School District,John Y Dater Elementary School,35 SCHOOL STREET,RAMSEY,NJ,07446,1833,03-4310-060
Warren,Phillipsburg School District,Philipsburg Primary School,1000 Green Street,PHILLIPSBURG,NJ,08865,1520,41-4100-070
Essex,East Orange School District,Gordon Parks Academy,98 GREENWOOD AVE,EAST ORANGE,NJ,07017,5106,13-1210-130
Burlington,Northern Burlington County Regional School District,Northern Burlington County Regional High School,160 MANSFIELD ROAD EAST,COLUMBUS,NJ,08022,9738,05-3690-050
Passaic,Paterson Public School District,Dale Avenue,21 Dale Ave,PATERSON,NJ,07501,,31-4010-045
Cape May,Lower Cape May Regional School District,Lower Cape May Regional High School,687 RT 9,CAPE MAY,NJ,08204,,09-2820-050
Bergen,Westwood Regional School District,Washington Elementary School,600 SCHOOL STREET,TOWNSHIP OF WASHINGTON,NJ,07676,,03-5755-080
Burlington,Burlington Township School District,B. Bernice Young Elementary School,1203 NECK ROAD,BURLINGTON,NJ,08016,9741,05-0620-030
Passaic,Passaic County Vocational School District,Diana C. Lobosco STEM Academy,45 Reinhardt Road,Wayne,NJ,07470,2210,31-3995-300
Mercer,Ewing Township School District,Ewing High School,900 PARKWAY AVE,EWING,NJ,08618,2308,21-1430-050
Ocean,Manchester Township School District,Manchester Township Middle School,2759 RIDGEWAY RD,MANCHESTER,NJ,08759,,29-2940-045
Middlesex,Dunellen Public School District,Lincoln Middle School,400  Dunellen Avenue,DUNELLEN,NJ,08812,,23-1140-060
Cumberland,Vineland Public School District,Dane Barse Elementary School,240 S ORCHARD RD,VINELAND,NJ,08360,4337,11-5390-095
Atlantic,Hamilton Township School District,William Davies Middle School,1876 DR  DENNIS FOREMAN DRIVE,MAYS LANDING,NJ,08330,,01-1940-120
Atlantic,Mullica Township School District,Mullica Township Middle School,500 ELWOOD ROAD,ELWOOD,NJ,08217,0318,01-3480-025
Essex,South Orange-Maplewood School District,Tuscan Elementary School,25 HARVARD AVE,MAPLEWOOD,NJ,07040,3109,13-4900-150
Middlesex,Sayreville School District,Samsel Upper Elementary School,298 ERNSTON ROAD,PARLIN,NJ,08859,,23-4660-085
Passaic,Paterson Public School District,Young Men's Academy,13 WAGARAW BLVD,PROSPECT PARK,NJ,07508,,31-4010-303
Middlesex,Piscataway Township School District,Theodore Schor Middle School,243 NORTH RANDOLPHVILLE RD,PISCATAWAY,NJ,08854,,23-4130-057
Middlesex,Middlesex County Vocational and Technical School District,Middlesex County Voc Acad Allied Health & Biomedical Science,1 CONVERY BOULEVARD,WOODBRIDGE,NJ,07095,2650,23-3150-070
Morris,Randolph Township School District,Randolph Middle School,507 MILLBROOK AVENUE,RANDOLPH,NJ,07869,,27-4330-075
Camden,Audubon Public School Disrict,Haviland Avenue School,240 SOUTH HAVILAND AVENUE,AUDUBON,NJ,08106,,07-0150-040
Salem,Woodstown-Pilesgrove Regional School District,Woodstown Middle School,WOODSTOWN MIDDLE SCHOOL,WOODSTOWN,NJ,08098,1391,33-5910-070
Mercer,Area Vocational Technical Schools of Mercer County,MCVS Assunpink Center,1085 OLD TRENTON ROAD,TRENTON,NJ,08690,1229,21-3105-030
Passaic,Hawthorne Public School District,Roosevelt Elementary School,50 ROOSEVELT AVENUE,HAWTHORNE,NJ,07506,,31-2100-080
Monmouth,Fair Haven School District,Knollwood School,224 HANCE ROAD,FAIR HAVEN,NJ,07704,3198,25-1440-050
Essex,West Essex Regional School District,West Essex High School,65 WEST GREENBROOK RD,NORTH CALDWELL,NJ,07006,,13-5630-050
Gloucester,Washington Township School District,Bells Elementary School,227 GREENTREE RD,TURNERSVILLE,NJ,08012,,15-5500-025
Sussex,Sandyston-Walpack Consolidated School District,Sandyston Walpack Consolidated School,100 ROUTE 560,LAYTON,NJ,07851,,37-4650-050
Essex,Newark Public School District,Wilson Avenue School,19 WILSON AVE,NEWARK,NJ,07108,3214,13-3570-750
Bergen,Ridgewood Public School District,Travell Elementary School,340 BOGERT AVE,RIDGEWOOD,NJ,07451,,03-4390-110
Somerset,Warren Township School District,Woodland School,114 Stirling Road,Warren,NJ,07059,,35-5470-050
Camden,Bellmawr Public School District,Ethel M Burke Elementary School,112 SOUTH BLACK HORSE PIKE,BELLMAWR,NJ,08031,,07-0260-030
Somerset,Manville School District,Weston Elementary School,600 Newark Avenue,MANVILLE,NJ,08835,,35-3000-090
Essex,Caldwell-West Caldwell School District,Harrison School,104 Gray Street,West Caldwell,NJ,07006,,13-0660-300
Monmouth,Colts Neck Township School District,Conover Road Primary School,56 CONOVER ROAD,COLTS NECK,NJ,07722,1250,25-0945-060
Somerset,Somerville Public School District,Somerville High School,222 Davenport St.,Somerville,NJ,08876,1515,35-4820-050
Gloucester,Woodbury Heights Public School District,Woodbury Heights Elementary,100 ACADEMY AVE,WOODBURY HTS,NJ,08097,,15-5870-050
Union,Rahway Public School District,Madison Elementary,944 MADISON AVE,RAHWAY,NJ,07065,1803,39-4290-110
Essex,Montclair Public School District,Bradford Elementary School,87 MT HEBRON RD,UPPER MONTCLAIR,NJ,07042,,13-3310-100
Union,Summit Public School District,Franklin Elementary School,136 BLACKBURN ROAD,SUMMIT,NJ,07901,2313,39-5090-080
Ocean,Ocean Gate School District,Ocean Gate Elementary School,126 WEST ARVERNE AVENUE,OCEAN GATE,NJ,08740,0478,29-3800-050
Charters,Roseville Community Charter School,Roseville Community Charter School,540 ORANGE STREET,NEWARK,NJ,07107,,80-6058-939
Hunterdon,Tewksbury Township School District,Tewksbury Elementary School,109 FAIRMOUNT ROAD EAST,CALIFON,NJ,07830,,19-5180-055
Salem,Salem City School District,John Fenwick Academy,183 SMITH STREET,SALEM,NJ,08079,9048,33-4630-070
Charters,Greater Brunswick Charter School,Greater Brunswick Charter School,429 JOYCE KILMER AVENUE,NEW BRUNSWICK,NJ,08901,,80-6635-930
Passaic,Wayne Township Public School District,George Washington Middle School,68 LENOX ROAD,WAYNE,NJ,07470,5551,31-5570-083
Middlesex,North Brunswick Township School District,Parsons,116 HOLLYWOOD STREET,NORTH BRUNSWICK,NJ,08902,,23-3620-090
Monmouth,Shrewsbury Borough School District,Shrewsbury Borough Elementary School,20 OBRE PLACE,SHREWSBURY,NJ,07702,4124,25-4770-050
Morris,East Hanover Township School District,East Hanover Middle School,477 RIDGEDALE AVENUE,EAST HANOVER,NJ,07936,3094,27-1190-050
Burlington,Moorestown Township Public School District,Moorestown High School,350 BRIDGEBORO ROAD,MOORESTOWN,NJ,08057,3702,05-3360-040
Bergen,Cliffside Park School District,School #5,214 DAY AVE,CLIFFSIDE PARK,NJ,07010,,03-0890-070
Cape May,Lower Township Elementary School District,Carl T. Mitnick School,905 SEASHORE ROAD,CAPE MAY,NJ,08204,4650,09-2840-080
Hudson,Union City School District,Hudson Elementary School,167  19TH ST,UNION CITY,NJ,07087,5459,17-5240-090
Bergen,Westwood Regional School District,Westwood Regional Middle School,23 THIRD AVENUE,WESTWOOD,NJ,07675,3331,03-5755-062
Salem,Salem County Vocational Technical School District,Salem County Career and Technical High School,880 Route 45,WOODSTOWN,NJ,08098,0350,33-4640-040
Camden,Camden County Technical School District,Camden County Technical School-Pennsauken,6008 Browning Road,Pennsauken,NJ,08109,,07-0700-030
Cumberland,Vineland Public School District,Sgt. Dominick Pilla Middle School,3133 S Lincoln Ave,Vineland,NJ,08361,7101,11-5390-301
Middlesex,North Brunswick Township School District,John Adams,1420 REDMOND STREET,NORTH BRUNSWICK,NJ,08902,,23-3620-060
Somerset,Somerset County Educational Services Commission,The Career Center of the SCESC,7 Finderne Avenue,Bridgewater,NJ,08807,,35-4805-300
Union,Scotch Plains-Fanwood School District,Howard B. Brunner Elementary School,721 WESTFIELD ROAD,SCOTCH PLAINS,NJ,07076,,39-4670-080
Middlesex,South River Public School District,South River Middle School,3 MONTGOMERY STREET,SOUTH RIVER,NJ,08882,,23-4920-055
Charters,Principle Academy Charter School,Principle Academy Charter School,6718 Black Horse Pike,Egg Harbor Township,NJ,08234,,80-6104-995
Bergen,Teaneck School District,John Greenleaf Whittier Elementary School,491 W ENGLEWOOD AVENUE,TEANECK,NJ,07666,,03-5150-150
Hudson,Jersey City Public Schools,Mahatma K. Gandhi School,143 ROMAINE AVE,JERSEY CITY,NJ,07306,5218,17-2390-210
Hudson,Jersey City Public Schools,William L Dickinson High School,2 PALISADE AVE,JERSEY CITY,NJ,07306,1202,17-2390-080
Middlesex,Educational Services Commission of New Jersey,Future Foundations Academy (FFA),1690 Stelton Road,Piscataway,NJ,08854,5917,23-3145-300
Charters,Pace Charter School of Hamilton,Pace Charter School of Hamilton,1949 HAMILTON AVENUE,HAMILTON TWP,NJ,08619,,80-7500-900
Monmouth,Keyport School District,Keyport Central School,335 BROAD STREET,KEYPORT,NJ,07735,1694,25-2430-060
Union,Linden Public School District,Number 2,1700 SOUTH WOOD AVENUE,LINDEN,NJ,07036,,39-2660-090
Essex,ORANGE BOARD OF EDUCATION School District,Heywood Avenue Elementary School,421 HEYWOOD AVE,ORANGE,NJ,07050,2006,13-3880-090
Ocean,Ocean County Vocational Technical School District,Ocean County Vocational Technical School Brick Center,350 CHAMBERS BRIDGE ROAD,BRICK,NJ,08723,2896,29-3790-010
Morris,Washington Township School District,Long Valley Middle School,51 WEST MILL RD,LONG VALLEY,NJ,07853,9200,27-5520-035
Passaic,Paterson Public School District,Rosa L. Parks School of Fine and Performing Arts,413 12TH AVENUE,PATERSON,NJ,07514,,31-4010-020
Morris,Morris School District,Hillcrest School,160 HILLCREST AVENUE,MORRISTOWN,NJ,07960,,27-3385-090
Middlesex,Old Bridge Township School District,Leroy Gordon Cooper Elementary School,160 BIRCHWOOD DRIVE,CLIFFWOOD BEACH,NJ,07735,6123,23-3845-113
Bergen,Ramsey School District,Eric S. Smith Middle School,2 MONROE STREET,RAMSEY,NJ,07446,1411,03-4310-055
Middlesex,Woodbridge Township School District,Woodbridge Middle School,525 BARRON AVENUE,WOODBRIDGE,NJ,07095,,23-5850-090
Atlantic,Buena Regional School District,Buena Regional High School,125 WEYMOUTH ROAD,BUENA,NJ,08310,9620,01-0590-025
Morris,Kinnelon School District,Kinnelon High School,121 KINNELON ROAD,KINNELON,NJ,07405,,27-2460-050
Hudson,Kearny,Schuyler Elementary School,644 FOREST ST,KEARNY,NJ,07032,3798,17-2410-110
Bergen,Teaneck School District,Benjamin Franklin Middle School,1315 TAFT ROAD,TEANECK,NJ,07666,,03-5150-060
Passaic,Hawthorne Public School District,Thomas Jefferson Elementary School,233 GOFFLE HILL ROAD,HAWTHORNE,NJ,07507,,31-2100-090
Burlington,Southampton Township School District,Southampton Township School #2,100 MISS MABEL DRIVE,SOUTHAMPTON,NJ,08088,3351,05-4930-060
Hudson,West New York Board of Education,West New York Middle School,201 57TH ST,WEST NEW YORK,NJ,07093,2705,17-5670-110
Morris,Boonton Town School District,School Street School,720 BIRCH STREET,BOONTON,NJ,07005,,27-0450-040
Bergen,Elmwood Park School District,Sixteenth Avenue School,73 SIXTEENTH AVENUE,ELMWOOD PARK,NJ,07407,2925,03-1345-090
Morris,Hanover Township School District,Mountview Road School,30 MOUNTVIEW ROAD,MORRIS PLAINS,NJ,07950,,27-2000-050
Ocean,Lakewood Township School District,Lakewood High School,855 SOMERSET AVENUE,LAKEWOOD,NJ,08701,,29-2520-050
Passaic,West Milford Township Public School District,Marshall Hill Elementary School,210 MARSHALL HILL ROAD,WEST MILFORD,NJ,07480,3512,31-5650-070
Union,Berkeley Heights School District,Mountain Park School,55 FAIRFAX DR,BERKELEY HTS,NJ,07922,1832,39-0310-040
Camden,Cherry Hill School District,John A. Carusi Middle School,315 Roosevelt Dr.,CHERRY HILL,NJ,08034,1599,07-0800-067
Bergen,Glen Rock Public School District,Alexander Hamilton School,380 HARRISTOWN ROAD,GLEN ROCK,NJ,07452,,03-1760-065
Cape May,Ocean City School District,Ocean City Intermediate School,1901 BAY AVENUE,OCEAN CITY,NJ,08226,,09-3780-060
Somerset,Franklin Township Public Schools,Franklin High School,500 Elizabeth Avenue,Somerset,NJ,08873,3001,35-1610-050
Atlantic,Atlantic County Special Services School District,Atlantic County High School,4805 NAWAKWA BOULEVARD,MAYS LANDING,NJ,08330,,01-0125-060
Union,Scotch Plains-Fanwood School District,J. Ackerman Coles Elementary School,16 KEVIN ROAD,SCOTCH PLAINS,NJ,07076,,39-4670-085
Bergen,Bergen County Special Services School District,Life Skills,540 Farview Avenue,Paramus,NJ,07652,4832,03-0285-070
Burlington,Evesham Township School District,Richard L Rice School,50 CROWN ROYAL PARKWAY,MARLTON,NJ,08053,,05-1420-065
Camden,Camden City School District,Dr. Charles E. Brimm Medical Arts High School,1626 COPEWOOD STREET,CAMDEN,NJ,08103,,07-0680-029
Camden,HADDON HEIGHTS School District,Atlantic Avenue,21 East Atlantic Avenue,HADDON HEIGHTS,NJ,08035,,07-1880-080
Bergen,Fort Lee School District,School No. 2,2047 JONES ROAD,FORT LEE,NJ,07024,,03-1550-070
Essex,Bloomfield Township School District,Fairview Elementary School,376 Berkeley Avenue,Bloomfield,NJ,07003,5036,13-0410-110
Bergen,North Arlington School District,Roosevelt Elementary School,50 Webster Street,North Arlington,NJ,07031,,03-3600-070
Bergen,Ridgefield School District,Bergen Boulevard School,635 BERGEN BLVD,RIDGEFIELD,NJ,07657,,03-4370-065
Passaic,Passaic City School District,George Washington School No. 2,48 BERGEN ST.,PASSAIC,NJ,07055,,31-3970-085
Bergen,Rutherford School District,Lincoln School,414 MONTROSS AVENUE,RUTHERFORD,NJ,07070,2218,03-4600-070
Essex,Cedar Grove Township School District,South End Elementary School,116 Harper Terrace,Cedar Grove,NJ,07009,,13-0760-090
Monmouth,Monmouth County Vocational School District,Monmouth County Academy of Allied Health and Science,2325 HECK AVENUE,NEPTUNE,NJ,07753,4432,25-3260-025
Passaic,Passaic City School District,Sonia Sotomayor School #21,225 Madison Street,Passaic,NJ,07055,,31-3970-303
Union,Linden Public School District,Number 6,19 East Morris Ave.,LINDEN,NJ,07036,,39-2660-130
Bergen,Fair Lawn Public School District,Memorial Middle School,12 - 00 FIRST STREET,FAIR LAWN,NJ,07410,,03-1450-070
Burlington,Pemberton Township School District,Joseph S. Stackhouse School,125A TRENTON ROAD,BROWNS MILLS,NJ,08015,,05-4050-140
Somerset,Hillsborough Township Public School District,Auten Road Intermediate School,281 Auten Road,Hillsborough,NJ,08844,,35-2170-034
Camden,Lindenwold Public School District,Lindenwold Preschool Building,100 South Avenue,Lindenwold,NJ,08021,,07-2670-300
Bergen,Bogota Public School District,Bogota Middle School,131 East Fort Lee Road,Bogota,NJ,07603,,03-0440-300
Passaic,Wayne Township Public School District,Albert Payson Terhune Elementary,40 GEOFFREY WAY,WAYNE,NJ,07470,4029,31-5570-078
Union,Union County Vocational-Technical School District,Union County Career & Technical Institute,1776 Raritan Road,Scotch Plains,NJ,07076,,39-5260-301
Bergen,Mahwah Township Public School District,Mahwah High School,50 RIDGE ROAD,MAHWAH,NJ,07430,,03-2900-050
Essex,Caldwell-West Caldwell School District,Lincoln Elementary School,18 CRANE ST,CALDWELL,NJ,07006,,13-0660-080
