county_name,district_name,school_name,county_district_school_code,school_address,name_enc,address_enc,gs_school_name,gs_school_address,gs_school_link,fuzzy_name_score,fuzzy_address_score
Mercer,Hamilton Township Public School District,Robinson Elementary School,21-1950-225,"495 GROPP AVENUE, HAMILTON, NJ, 08610",ROBINSONELEMENTARYSCHOOL,495GROPPAVENUEHAMILTONTOWNSHIPNJ08610,Robinson Elementary School,"495 GROPP AVENUE, Hamilton Township, NJ, 08610",https://www.greatschools.org/new-jersey/trenton/744-Robinson-Elementary-School/,100.0,86.27450980392157
Middlesex,Sayreville School District,Project Before at Selover School,23-4660-300,"150 Lincoln St, South Amboy, NJ, 08879",PROJECTBEFOREATSELOVERSCHOOL,150LINCOLNSTREETSOUTHAMBOYNJ08879,Project Before at Selover School,"150 Lincoln Street, South Amboy, NJ, 08879",https://www.greatschools.org/new-jersey/south-amboy/9226-Project-Before-At-Selover-School/,100.0,86.20689655172413
Hudson,Jersey City Public Schools,"Whitney M. Young, Jr. School",17-2390-170,"135 STEGMAN ST, JERSEY CITY, NJ, 07305",WHITNEYMYOUNG,135STEGMANSTREETJERSEYCITYNJ07305,Whitney M Young,"135 Stegman Street, Jersey City, NJ, 07305",https://www.greatschools.org/new-jersey/jersey-city/887-Whitney-M-Young/,100.0,86.20689655172413
Monmouth,Farmingdale Public School District,Farmingdale Elementary,25-1490-050,"49 ACADEMY ST, FARMINGDALE, NJ, 07727",FARMINGDALEELEMENTARYSCHOOL,49ACADEMYSTREETFARMINGDALENJ07727,Farmingdale Elementary School,"49 Academy Street, Farmingdale, NJ, 07727",https://www.greatschools.org/new-jersey/farmingdale/584-Farmingdale-Elementary-School/,100.0,86.20689655172413
Burlington,Burlington City Public School District,Captain James Lawrence Elementary School,05-0600-040,"315 BARCLAY ST, BURLINGTON, NJ, 08016",CAPTAINJAMESLAWRENCEELEMENTARYSCHOOL,315BARCLAYSTREETBURLINGTONNJ08016,Captain James Lawrence Elementary School,"315 Barclay Street, Burlington, NJ, 08016",https://www.greatschools.org/new-jersey/burlington/213-Captain-James-Lawrence-Elementary-School/,100.0,86.20689655172413
Salem,Pennsville Public School District,Central Park Elementary School,33-4075-060,"43 OLIVER AVE, PENNSVILLE, NJ, 08070",CENTRALPARKELEMENTARYSCHOOL,43OLIVERAVEPENNSVILLETOWNSHIPNJ08070,Central Park Elementary School,"43 OLIVER AVE, Pennsville Township, NJ, 08070",https://www.greatschools.org/new-jersey/pennsville/1035-Central-Park-Elementary-School/,100.0,85.71428571428572
Ocean,Jackson Township School District,Crawford-Rodriguez Elementary School,29-2360-030,"1025 Larsen Road, Jackson, NJ, 08527",CRAWFORDRODRIGUEZELEMENTARYSCHOOL,1025LARSENROADJACKSONTOWNSHIPNJ08527,Crawford Rodriguez Elementary School,"1025 Larsen Road, Jackson Township, NJ, 08527",https://www.greatschools.org/new-jersey/jackson-township/3447-Crawford--Rodriguez-Elementary-School/,100.0,85.71428571428572
Ocean,Barnegat Township School District,Joseph T. Donahue Elementary School,29-0185-080,"200 BENGAL BLVD, BARNEGAT, NJ, 08005",JOSEPHTDONAHUEELEMENTARYSCHOOL,200BENGALBLVDBARNEGATTOWNSHIPNJ08005,Joseph T Donahue Elementary School,"200 BENGAL BLVD, Barnegat Township, NJ, 08005",https://www.greatschools.org/new-jersey/barnegat-township/6903-Joseph-T---Donahue-Elementary-School/,100.0,85.71428571428572
Essex,Newark Public School District,Newark Vocational High School,13-3570-045,"301 West Kinney St, Newark, NJ, 07103",NEWARKVOCATIONALHIGHSCHOOL,301WESTKINNEYSTREETNEWARKNJ07103,Newark Vocational High School,"301 West Kinney Street, Newark, NJ, 07103",https://www.greatschools.org/new-jersey/newark/1320-Newark-Vocational-High-School/,100.0,85.71428571428572
Ocean,Jackson Township School District,Howard C. Johnson Elementary School,29-2360-044,"1021 Larsen Road, Jackson, NJ, 08527",HOWARDCJOHNSONELEMENTARYSCHOOL,1021LARSENROADJACKSONTOWNSHIPNJ08527,Howard C Johnson Elementary School,"1021 Larsen Road, Jackson Township, NJ, 08527",https://www.greatschools.org/new-jersey/jackson-township/858-Howard-C-Johnson-Elementary-School/,100.0,85.71428571428572
