county_name,district_name,school_name,county_district_school_code,school_address,name_enc,address_enc,gs_school_name,gs_school_address,gs_school_link,fuzzy_name_score,fuzzy_address_score
Middlesex,Edison Township School District,Edison High School,23-1290-050,"50 BOULEVARD OF THE EAGLES, EDISON, NJ, 08817",EDISONHIGHSCHOOL,50BOULEVARDOFTHEEAGLESEDISONNJ08817,Edison High School,"50 Boulevard of the Eagles, Edison, NJ, 08817",https://www.greatschools.org/new-jersey/edison/477-Edison-High-School/,100.0,100.0
Essex,Fairfield Public Schools School District,Stevenson,13-1465-005,"15 KNOLL ROAD, FAIRFIELD, NJ, 07004",ADLAIESTEVENSONELEMENTARYSCHOOL,15KNOLLROADFAIRFIELDNJ07004,Adlai E. Stevenson Elementary School,"15 Knoll Road, Fairfield, NJ, 07004",https://www.greatschools.org/new-jersey/fairfield/578-Adlai-E.-Stevenson-Elementary-School/,100.0,100.0
Middlesex,Metuchen Public School District,Mildred B. Moss Elementary School,23-3120-090,"16 SIMPSON PLACE, METUCHEN, NJ, 08840",MILDREDBMOSSELEMENTARYSCHOOL,16SIMPSONPLACEMETUCHENNJ08840,Mildred B. Moss Elementary School,"16 Simpson Place, Metuchen, NJ, 08840",https://www.greatschools.org/new-jersey/metuchen/1145-Mildred-B.-Moss-Elementary-School/,100.0,100.0
Passaic,Wayne Township Public School District,Pines Lake Elementary School,31-5570-120,"511 PINES LAKE DRIVE, WAYNE, NJ, 07470",PINESLAKEELEMENTARYSCHOOL,511PINESLAKEDRIVEWAYNENJ07470,Pines Lake Elementary School,"511 Pines Lake Drive, Wayne, NJ, 07470",https://www.greatschools.org/new-jersey/wayne/2131-Pines-Lake-Elementary-School/,100.0,100.0
Bergen,Waldwick School District,Crescent Elementary School,03-5410-040,"165 CRESCENT AVENUE, WALDWICK, NJ, 07463",CRESCENTELEMENTARYSCHOOL,165CRESCENTAVENUEWALDWICKNJ07463,Crescent Elementary School,"165 Crescent Avenue, Waldwick, NJ, 07463",https://www.greatschools.org/new-jersey/waldwick/2073-Crescent-Elementary-School/,100.0,100.0
Monmouth,Red Bank Borough Public School District,Red Bank Primary School,25-4360-075,"222 RIVER STREET, RED  BANK, NJ, 07701",REDBANKPRIMARYSCHOOL,222RIVERSTREETREDBANKNJ07701,Red Bank Primary School,"222 RIVER STREET, Red Bank, NJ, 07701",https://www.greatschools.org/new-jersey/red-bank/1721-Red-Bank-Primary-School/,100.0,100.0
Salem,Pittsgrove Township School District,Elmer Elementary School,33-4150-080,"207 Front Street, Elmer, NJ, 08318",ELMERELEMENTARYSCHOOL,207FRONTSTREETELMERNJ08318,Elmer Elementary School,"207 Front Street, Elmer, NJ, 08318",https://www.greatschools.org/new-jersey/elmer/7102-Elmer-Elementary-School/,100.0,100.0
Burlington,Shamong Township School District,Indian Mills Elementary School,05-4740-050,"112 INDIAN MILLS ROAD, SHAMONG, NJ, 08088",INDIANMILLSELEMENTARYSCHOOL,112INDIANMILLSROADSHAMONGNJ08088,Indian Mills Elementary School,"112 Indian Mills Road, Shamong, NJ, 08088",https://www.greatschools.org/new-jersey/shamong/1831-Indian-Mills-Elementary-School/,100.0,100.0
Bergen,Closter Public School District,Tenakill Middle School,03-0930-060,"275 High Street, CLOSTER, NJ, 07624",TENAKILLMIDDLESCHOOL,275HIGHSTREETCLOSTERNJ07624,Tenakill Middle School,"275 High Street, Closter, NJ, 07624",https://www.greatschools.org/new-jersey/closter/355-Tenakill-Middle-School/,100.0,100.0
Hudson,Weehawken Public School District,Weehawken High School,17-5580-050,"53 LIBERTY PLACE, WEEHAWKEN, NJ, 07086",WEEHAWKENHIGHSCHOOL,53LIBERTYPLACEWEEHAWKENNJ07086,Weehawken High School,"53 Liberty Place, Weehawken, NJ, 07086",https://www.greatschools.org/new-jersey/weehawken/2136-Weehawken-High-School/,100.0,100.0
Camden,Gloucester City Public School District,Cold Springs School,07-1770-160,"1194 MARKET STREET, GLOUCESTER CITY, NJ, 08030",COLDSPRINGSSCHOOL,1194MARKETSTREETGLOUCESTERCITYNJ08030,Cold Springs School,"1194 Market Street, Gloucester City, NJ, 08030",https://www.greatschools.org/new-jersey/gloucester-city/673-Cold-Springs-School/,100.0,100.0
Morris,Denville Township K-8 School District,Lakeview Elementary School,27-1090-050,"44 COOPER ROAD, DENVILLE, NJ, 07834",LAKEVIEWELEMENTARYSCHOOL,44COOPERROADDENVILLENJ07834,Lakeview Elementary School,"44 Cooper Road, Denville, NJ, 07834",https://www.greatschools.org/new-jersey/denville/394-Lakeview-Elementary-School/,100.0,100.0
Monmouth,Wall Township Public School District,Old Mill Elementary School,25-5420-077,"2119 OLD MILL ROAD, SEA GIRT, NJ, 08750",OLDMILLELEMENTARYSCHOOL,2119OLDMILLROADSEAGIRTNJ08750,Old Mill Elementary School,"2119 Old Mill Road, Sea Girt, NJ, 08750",https://www.greatschools.org/new-jersey/sea-girt/2081-Old-Mill-Elementary-School/,100.0,100.0
Union,Township of Union School District,Hannah Caldwell Elementary,39-5290-083,"1120 COMMERCE AVENUE, UNION, NJ, 07083",HANNAHCALDWELLELEMENTARYSCHOOL,1120COMMERCEAVENUEUNIONNJ07083,Hannah Caldwell Elementary School,"1120 Commerce Avenue, Union, NJ, 07083",https://www.greatschools.org/new-jersey/union/2013-Hannah-Caldwell-Elementary-School/,100.0,100.0
Union,Township of Union School District,Connecticut Farms Elementary,39-5290-090,"875 STUYVESANT AVENUE, UNION, NJ, 07083",CONNECTICUTFARMSELEMENTARYSCHOOL,875STUYVESANTAVENUEUNIONNJ07083,Connecticut Farms Elementary School,"875 Stuyvesant Avenue, Union, NJ, 07083",https://www.greatschools.org/new-jersey/union/2019-Connecticut-Farms-Elementary-School/,100.0,100.0
Union,Roselle Public Schools,Kindergarten Success Academy,39-4540-300,"150 EAST 3RD AVENUE, ROSELLE, NJ, 07203",KINDERGARTENSUCCESSACADEMY,150EAST3RDAVENUEROSELLENJ07203,Kindergarten Success Academy,"150 East 3rd Avenue, Roselle, NJ, 07203",https://www.greatschools.org/new-jersey/roselle/7098-Kindergarten-Success-Academy/,100.0,100.0
Passaic,Clifton Public School District,Clifton Early Learner Academies,31-0900-301,"290 Brighton Road, Clifton, NJ, 07012",CLIFTONEARLYLEARNERACADEMIES,290BRIGHTONROADCLIFTONNJ07012,Clifton Early Learner Academies,"290 Brighton Road, Clifton, NJ, 07012",https://www.greatschools.org/new-jersey/clifton/8917-Clifton-Early-Learner-Academies/,100.0,100.0
Camden,Camden City School District,Harry C. Sharp Elementary School,07-0680-300,"928 North 32nd Street, CAMDEN, NJ, 08105",SHARPELEMENTARYSCHOOL,928NORTH32NDSTREETCAMDENNJ08105,Sharp Elementary School,"928 North 32nd Street, Camden, NJ, 08105",https://www.greatschools.org/new-jersey/camden/260-Sharp-Elementary-School/,100.0,100.0
Essex,East Orange School District,East Orange STEM Academy High School,13-1210-030,"129 RENSHAW AVENUE, EAST ORANGE, NJ, 07017",EASTORANGESTEMACADEMY,129RENSHAWAVENUEEASTORANGENJ07017,East Orange STEM Academy,"129 Renshaw Avenue, East Orange, NJ, 07017",https://www.greatschools.org/new-jersey/east-orange/441-East-Orange-Campus-9/,100.0,100.0
Middlesex,Perth Amboy Public School District,Edward J. Patten Elementary School,23-4090-065,"500 CHARLES STREET, PERTH AMBOY, NJ, 08861",EDWARDJPATTENELEMENTARYSCHOOL,500CHARLESSTREETPERTHAMBOYNJ08861,Edward J Patten Elementary School,"500 Charles Street, Perth Amboy, NJ, 08861",https://www.greatschools.org/new-jersey/perth-amboy/1608-Edward-J--Patten-Elementary-School/,100.0,100.0
Charters,Robert Treat Academy Charter School,Robert Treat Academy Charter School,80-7730-970,"443 CLIFTON AVENUE, NEWARK, NJ, 07104",ROBERTTREATACADEMYCHARTERSCHOOL,443CLIFTONAVENUENEWARKNJ07104,Robert Treat Academy Charter School,"443 Clifton Avenue, Newark, NJ, 07104",https://www.greatschools.org/new-jersey/newark/3340-Robert-Treat-Academy-Charter-School/,100.0,100.0
Essex,Newark Public School District,Newark innovation Academy,13-3570-003,"190 MUHAMMAD ALI AVENUE, NEWARK, NJ, 07108",NEWARKINNOVATIONACADEMY,190MUHAMMADALIAVENUENEWARKNJ07108,Newark Innovation Academy,"190 Muhammad Ali Avenue, Newark, NJ, 07108",https://www.greatschools.org/new-jersey/newark/7081-Newark-Innovation-Academy/,100.0,100.0
Bergen,Demarest School District,Luther Lee Emerson School,03-1070-050,"15 COLUMBUS ROAD, DEMAREST, NJ, 07627",LUTHERLEEEMERSONSCHOOL,15COLUMBUSROADDEMARESTNJ07627,Luther Lee Emerson School,"15 Columbus Road, Demarest, NJ, 07627",https://www.greatschools.org/new-jersey/demarest/392-Luther-Lee-Emerson-School/,100.0,100.0
Essex,Newark Public School District,Arts High School,13-3570-010,"550 M  L  KING BLVD, NEWARK, NJ, 07102",ARTSHIGHSCHOOL,550MLKINGBLVDNEWARKNJ07102,Arts High School,"550 M L KING BLVD, Newark, NJ, 07102",https://www.greatschools.org/new-jersey/newark/1316-Arts-High-School/,100.0,100.0
Bergen,Palisades Park School District,Palisades Park Jr-Sr High School,03-3910-050,"VETERANS PLAZA, PALISADES PARK, NJ, 07650",PALISADESPARKJRSRHIGHSCHOOL,VETERANSPLAZAPALISADESPARKNJ07650,Palisades Park Jr Sr High School,"Veterans Plaza, Palisades Park, NJ, 07650",https://www.greatschools.org/new-jersey/palisades-park/1486-Palisades-Park-Jr--Sr-High-School/,100.0,100.0
Union,Union County Educational Services Commission,Crossroads School,39-5245-050,"45 CARDINAL DRIVE, WESTFIELD, NJ, 07090",CROSSROADSSCHOOL,45CARDINALDRIVEWESTFIELDNJ07090,Crossroads School,"45 Cardinal Drive, Westfield, NJ, 07090",https://www.greatschools.org/new-jersey/westfield/4166-Crossroads-School/,100.0,100.0
Bergen,Fair Lawn Public School District,Lyncrest Elementary School,03-1450-100,"9-04 MORLOT AVE, FAIR LAWN, NJ, 07410",LYNCRESTELEMENTARYSCHOOL,904MORLOTAVEFAIRLAWNNJ07410,Lyncrest Elementary School,"9-04 MORLOT AVE, Fair Lawn, NJ, 07410",https://www.greatschools.org/new-jersey/fair-lawn/574-Lyncrest-Elementary-School/,100.0,100.0
Charters,Creativity CoLaboratory Charter School,Creativity CoLaboratory Charter School,80-7897-923,"457 Shirley Road, Elmer, NJ, 08318",CREATIVITYCOLABORATORYCHARTERSCHOOL,457SHIRLEYROADELMERNJ08318,Creativity Colaboratory Charter School,"457 Shirley Road, Elmer, NJ, 08318",https://www.greatschools.org/new-jersey/elmer/9216-Creativity-Colaboratory-Charter-School/,100.0,100.0
Passaic,Clifton Public School District,School #2,31-0900-090,"1270 VAN HOUTEN AVENUE, CLIFTON, NJ, 07013",SCHOOL#2,1270VANHOUTENAVENUECLIFTONNJ07013,School #2,"1270 Van Houten Avenue, Clifton, NJ, 07013",https://www.greatschools.org/new-jersey/clifton/338-Number-2-Elementary-School/,100.0,100.0
Bergen,East Rutherford School District,McKenzie School,03-1230-080,"125 CARLTON AVENUE, EAST RUTHERFORD, NJ, 07073",MCKENZIESCHOOL,125CARLTONAVENUEEASTRUTHERFORDNJ07073,Mckenzie School,"125 Carlton Avenue, East Rutherford, NJ, 07073",https://www.greatschools.org/new-jersey/east-rutherford/3486-Mckenzie-School/,100.0,100.0
Charters,Elysian Charter School,Elysian Charter School of Hoboken,80-6420-925,"1460 GARDEN STREET, HOBOKEN, NJ, 07030",ELYSIANCHARTERSCHOOLOFHOBOKEN,1460GARDENSTREETHOBOKENNJ07030,Elysian Charter School Of Hoboken,"1460 Garden Street, Hoboken, NJ, 07030",https://www.greatschools.org/new-jersey/hoboken/3344-Elysian-Cs-Of-Hoboken/,100.0,100.0
Morris,Boonton Town School District,Boonton High School,27-0450-020,"306 LATHROP AVENUE, BOONTON, NJ, 07005",BOONTONHIGHSCHOOL,306LATHROPAVENUEBOONTONNJ07005,Boonton High School,"306 Lathrop Avenue, Boonton, NJ, 07005",https://www.greatschools.org/new-jersey/boonton/157-Boonton-High-School/,100.0,100.0
Charters,Soaraing Heights Charter School,Soaring Heights Charter School,80-7830-980,"1 ROMAR AVENUE, JERSEY CITY, NJ, 07305",SOARINGHEIGHTSCHARTERSCHOOL,1ROMARAVENUEJERSEYCITYNJ07305,Soaring Heights Charter School,"1 Romar Avenue, Jersey City, NJ, 07305",https://www.greatschools.org/new-jersey/jersey-city/3351-Soaring-Heights-Charter-School/,100.0,100.0
Passaic,Paterson Public School District,International High School,31-4010-035,"200 Grand Street, PATERSON, NJ, 07501",INTERNATIONALHIGHSCHOOL,200GRANDSTREETPATERSONNJ07501,International High School,"200 Grand Street, Paterson, NJ, 07501",https://www.greatschools.org/new-jersey/paterson/4533-International-High-School/,100.0,100.0
Monmouth,Holmdel Township School District,Holmdel High School,25-2230-020,"36 CRAWFORDS CORNER ROAD, HOLMDEL, NJ, 07733",HOLMDELHIGHSCHOOL,36CRAWFORDSCORNERROADHOLMDELNJ07733,Holmdel High School,"36 Crawfords Corner Road, Holmdel, NJ, 07733",https://www.greatschools.org/new-jersey/holmdel/813-Holmdel-High-School/,100.0,100.0
Sussex,Hopatcong Borough School District,Durban Avenue Elementary School,37-2240-035,"616 Durban Avenue, Hopatcong, NJ, 07843",DURBANAVENUEELEMENTARYSCHOOL,616DURBANAVENUEHOPATCONGNJ07843,Durban Avenue Elementary School,"616 Durban Avenue, Hopatcong, NJ, 07843",https://www.greatschools.org/new-jersey/hopatcong/818-Durban-Avenue-Elementary-School/,100.0,100.0
Burlington,Medford Township School District,Milton H. Allen Elementary School,05-3080-060,"24 ALLEN AVENUE, MEDFORD, NJ, 08055",MILTONHALLENELEMENTARYSCHOOL,24ALLENAVENUEMEDFORDNJ08055,Milton H. Allen Elementary School,"24 Allen Avenue, Medford, NJ, 08055",https://www.greatschools.org/new-jersey/medford/1131-Milton-H.-Allen-Elementary-School/,100.0,100.0
Sussex,Newton Public School District,Newton High School,37-3590-050,"44 RYERSON AVENUE, NEWTON, NJ, 07860",NEWTONHIGHSCHOOL,44RYERSONAVENUENEWTONNJ07860,Newton High School,"44 Ryerson Avenue, Newton, NJ, 07860",https://www.greatschools.org/new-jersey/newton/1389-Newton-High-School/,100.0,100.0
Monmouth,Rumson-Fair Haven Regional High School District,Rumson-Fair Haven Regional High School,25-4580-050,"74 RIDGE ROAD, RUMSON, NJ, 07760",RUMSONFAIRHAVENREGIONALHIGHSCHOOL,74RIDGEROADRUMSONNJ07760,Rumson Fair Haven Regional High School,"74 Ridge Road, Rumson, NJ, 07760",https://www.greatschools.org/new-jersey/rumson/1785-Rumson-Fair-Haven-Reg-High-School/,100.0,100.0
Hudson,Union City School District,Colin Powell Elementary School,17-5240-300,"1500 New York Avenue, Union City, NJ, 07087",COLINPOWELLELEMENTARYSCHOOL,1500NEWYORKAVENUEUNIONCITYNJ07087,Colin Powell Elementary School,"1500 New York Avenue, Union City, NJ, 07087",https://www.greatschools.org/new-jersey/union-city/7125-Colin-Powell-Elementary-School/,100.0,100.0
Somerset,Bound Brook School District,Bound Brook High School,35-0490-020,"111 West Union Avenue, Bound Brook, NJ, 08805",BOUNDBROOKHIGHSCHOOL,111WESTUNIONAVENUEBOUNDBROOKNJ08805,Bound Brook High School,"111 West Union Avenue, Bound Brook, NJ, 08805",https://www.greatschools.org/new-jersey/bound-brook/165-Bound-Brook-High-School/,100.0,100.0
Passaic,Wayne Township Public School District,Packanack Elementary School,31-5570-110,"190 OAKWOOD DRIVE, WAYNE, NJ, 07470",PACKANACKELEMENTARYSCHOOL,190OAKWOODDRIVEWAYNENJ07470,Packanack Elementary School,"190 Oakwood Drive, Wayne, NJ, 07470",https://www.greatschools.org/new-jersey/wayne/2130-Packanack-Elementary-School/,100.0,100.0
Atlantic,Buena Regional School District,John C. Milanesi Elementary School,01-0590-055,"880 HARDING HIGHWAY, BUENA, NJ, 08310",JOHNCMILANESIELEMENTARYSCHOOL,880HARDINGHIGHWAYBUENANJ08310,John C Milanesi Elementary School,"880 Harding Highway, Buena, NJ, 08310",https://www.greatschools.org/new-jersey/buena/211-John-C--Milanesi-Elementary-School/,100.0,100.0
Union,Scotch Plains-Fanwood School District,Evergreen Elementary School,39-4670-090,"2280 EVERGREEN AVENUE, SCOTCH PLAINS, NJ, 07076",EVERGREENELEMENTARYSCHOOL,2280EVERGREENAVENUESCOTCHPLAINSNJ07076,Evergreen Elementary School,"2280 Evergreen Avenue, Scotch Plains, NJ, 07076",https://www.greatschools.org/new-jersey/scotch-plains/1821-Evergreen-Elementary-School/,100.0,100.0
Bergen,Carlstadt PublicSchool District,Carlstadt Public School,03-0740-050,"550 WASHINGTON STREET, CARLSTADT, NJ, 07072",CARLSTADTPUBLICSCHOOL,550WASHINGTONSTREETCARLSTADTNJ07072,Carlstadt Public School,"550 Washington Street, Carlstadt, NJ, 07072",https://www.greatschools.org/new-jersey/carlstadt/4517-Carlstadt-Public-School/,100.0,100.0
Camden,Waterford Township School District,Atco Elementary School,07-5560-040,"2162 Cooper Road, Atco, NJ, 08004",ATCOELEMENTARYSCHOOL,2162COOPERROADATCONJ08004,Atco Elementary School,"2162 Cooper Road, Atco, NJ, 08004",https://www.greatschools.org/new-jersey/atco/2121-Atco-Elementary-School/,100.0,100.0
Salem,Elsinboro Township School District,Elsinboro Township School,33-1350-050,"631 SALEM  FORT ELFSBORG ROAD, SALEM, NJ, 08079",ELSINBOROTOWNSHIPSCHOOL,631SALEMFORTELFSBORGROADSALEMNJ08079,Elsinboro Township School,"631 Salem Fort Elfsborg Road, Salem, NJ, 08079",https://www.greatschools.org/new-jersey/salem/536-Elsinboro-Elementary-School/,100.0,100.0
Essex,Cedar Grove Township School District,Cedar Grove High School,13-0760-050,"90 Rugby Road, Cedar Grove, NJ, 07009",CEDARGROVEHIGHSCHOOL,90RUGBYROADCEDARGROVENJ07009,Cedar Grove High School,"90 Rugby Road, Cedar Grove, NJ, 07009",https://www.greatschools.org/new-jersey/cedar-grove/285-Cedar-Grove-High-School/,100.0,100.0
Salem,Salem County Special Services School District,Cumberland Campus,33-4635-300,"13 Ramah Road, Bridgeton, NJ, 08302",CUMBERLANDCAMPUS,13RAMAHROADBRIDGETONNJ08302,Cumberland Campus,"13 Ramah Road, Bridgeton, NJ, 08302",https://www.greatschools.org/new-jersey/bridgeton/7104-Cumberland-Campus/,100.0,100.0
Cape May,Avalon School District,Avalon Elementary School,09-0170-010,"235 32ND STREET, AVALON, NJ, 08202",AVALONELEMENTARYSCHOOL,23532NDSTREETAVALONNJ08202,Avalon Elementary School,"235 32nd Street, Avalon, NJ, 08202",https://www.greatschools.org/new-jersey/avalon/60-Avalon-Elementary-School/,100.0,100.0
Hudson,Jersey City Public Schools,Infinity Institute,17-2390-002,"193 Old Bergen Road, Jersey City, NJ, 07305",INFINITYINSTITUTE,193OLDBERGENROADJERSEYCITYNJ07305,Infinity Institute,"193 Old Bergen Road, Jersey City, NJ, 07305",https://www.greatschools.org/new-jersey/jersey-city/7066-Infinity-Institute/,100.0,100.0
Warren,Belvidere School District,Belvidere High School,41-0280-020,"809 OXFORD STREET, BELVIDERE, NJ, 07823",BELVIDEREHIGHSCHOOL,809OXFORDSTREETBELVIDERENJ07823,Belvidere High School,"809 Oxford Street, Belvidere, NJ, 07823",https://www.greatschools.org/new-jersey/belvidere/93-Belvidere-High-School/,100.0,100.0
Mercer,Trenton Public Schools,Monument Elementary School,21-5210-250,"145 Pennington Avenue, Trenton, NJ, 08618",MONUMENTELEMENTARYSCHOOL,145PENNINGTONAVENUETRENTONNJ08618,Monument Elementary School,"145 Pennington Avenue, Trenton, NJ, 08618",https://www.greatschools.org/new-jersey/trenton/1981-Monument-Elementary-School/,100.0,100.0
Charters,Ridge and Valley Charter School,Ridge and Valley Charter School,80-7727-900,"1234 STATE ROUTE 94, Frelinghuysen, NJ, 07825",RIDGEANDVALLEYCHARTERSCHOOL,1234STATEROUTE94FRELINGHUYSENNJ07825,Ridge and Valley Charter School,"1234 STATE ROUTE 94, Frelinghuysen, NJ, 07825",https://www.greatschools.org/new-jersey/blairstown/4535-Ridge-And-Valley-Charter-School/,100.0,100.0
Gloucester,Clayton Public School District,Herma S. Simmons Elementary School,15-0860-040,"300 WEST CHESTNUT STREET, CLAYTON, NJ, 08312",HERMASSIMMONSELEMENTARYSCHOOL,300WESTCHESTNUTSTREETCLAYTONNJ08312,Herma S Simmons Elementary School,"300 West Chestnut Street, Clayton, NJ, 08312",https://www.greatschools.org/new-jersey/clayton/324-Herma-S--Simmons-Elementary-School/,100.0,100.0
Burlington,North Hanover Township School District,North Hanover Township Upper Elementary School,05-3650-036,"351 MONMOUTH ROAD, WRIGHTSTOWN, NJ, 08652",NORTHHANOVERTOWNSHIPUPPERELEMENTARYSCHOOL,351MONMOUTHROADWRIGHTSTOWNNJ08652,North Hanover Township Upper Elementary School,"351 MONMOUTH ROAD, Wrightstown, NJ, 08652",https://www.greatschools.org/new-jersey/wrightstown/4563-North-Hanover-Township-Upper-Elementary-School/,100.0,100.0
Sussex,Sparta Township Public School District,Sparta High School,37-4960-050,"70 WEST MOUNTAIN ROAD, SPARTA, NJ, 07871",SPARTAHIGHSCHOOL,70WESTMOUNTAINROADSPARTANJ07871,Sparta High School,"70 West Mountain Road, Sparta, NJ, 07871",https://www.greatschools.org/new-jersey/sparta-township/1889-Sparta-High-School/,100.0,100.0
Morris,Chester School District,Bragg Elementary School,27-0820-030,"250 Route 24, Chester, NJ, 07930",BRAGGELEMENTARYSCHOOL,250ROUTE24CHESTERNJ07930,Bragg Elementary School,"250 Route 24, Chester, NJ, 07930",https://www.greatschools.org/new-jersey/chester/312-Bragg-Elementary-School/,100.0,100.0
Monmouth,Middletown Township Public School District,Navesink Elementary School,25-3160-140,"151 MONMOUTH AVENUE, ATLANTIC HIGHLANDS, NJ, 07716",NAVESINKELEMENTARYSCHOOL,151MONMOUTHAVENUEATLANTICHIGHLANDSNJ07716,Navesink Elementary School,"151 Monmouth Avenue, Atlantic Highlands, NJ, 07716",https://www.greatschools.org/new-jersey/atlantic-highlands/1172-Navesink-Elementary-School/,100.0,100.0
Monmouth,LONG BRANCH PUBLIC SCHOOL District,Long Branch High School,25-2770-050,"404 Indiana Avenue, LONG BRANCH, NJ, 07740",LONGBRANCHHIGHSCHOOL,404INDIANAAVENUELONGBRANCHNJ07740,Long Branch High School,"404 Indiana Avenue, Long Branch, NJ, 07740",https://www.greatschools.org/new-jersey/long-branch/1016-Long-Branch-High-School/,100.0,100.0
Essex,Bloomfield Township School District,Watsessing Elementary School,13-0410-150,"71 Prospect Street, Bloomfield, NJ, 07003",WATSESSINGELEMENTARYSCHOOL,71PROSPECTSTREETBLOOMFIELDNJ07003,Watsessing Elementary School,"71 Prospect Street, Bloomfield, NJ, 07003",https://www.greatschools.org/new-jersey/bloomfield/148-Watsessing-Elementary-School/,100.0,100.0
Charters,Bergen Arts and Science Charter School,Bergen Arts and Sciences Charter School,80-6013-900,"200 MACARTHUR AVENUE, GARFIELD, NJ, 07026",BERGENARTSANDSCIENCESCHARTERSCHOOL,200MACARTHURAVENUEGARFIELDNJ07026,Bergen Arts And Sciences Charter School,"200 Macarthur Avenue, Garfield, NJ, 07026",https://www.greatschools.org/new-jersey/garfield/7062-Bergen-Arts-And-Sciences-Charter-School/,100.0,100.0
Gloucester,Woodbury City Public School District,Evergreen Avenue Elementary School,15-5860-090,"160 North Evergreen Avenue, Woodbury, NJ, 08096",EVERGREENAVENUEELEMENTARYSCHOOL,160NORTHEVERGREENAVENUEWOODBURYNJ08096,Evergreen Avenue Elementary School,"160 North Evergreen Avenue, Woodbury, NJ, 08096",https://www.greatschools.org/new-jersey/woodbury/2267-Evergreen-Avenue-Elementary-School/,100.0,100.0
Bergen,Teaneck School District,Nathaniel Hawthorne Elementary School,03-5150-110,"201 FYCKE LANE, TEANECK, NJ, 07666",HAWTHORNEELEMENTARYSCHOOL,201FYCKELANETEANECKNJ07666,Hawthorne Elementary School,"201 Fycke Lane, Teaneck, NJ, 07666",https://www.greatschools.org/new-jersey/teaneck/1935-Hawthorne-Elementary-School/,100.0,100.0
Bergen,Ridgewood Public School District,Somerville Elementary School,03-4390-100,"45 SOUTH PLEASANT AVE, RIDGEWOOD, NJ, 07451",SOMERVILLEELEMENTARYSCHOOL,45SOUTHPLEASANTAVERIDGEWOODNJ07451,Somerville Elementary School,"45 SOUTH PLEASANT AVE, Ridgewood, NJ, 07451",https://www.greatschools.org/new-jersey/ridgewood/1736-Somerville-Elementary-School/,100.0,100.0
Union,Hillside Public School District,Hillside Innovation Academy,39-2190-300,"195 Virginia St-1100 Woodruff Ave, Hillside, NJ, 07205",HILLSIDEINNOVATIONACADEMY,195VIRGINIAST1100WOODRUFFAVEHILLSIDENJ07205,Hillside Innovation Academy,"195 Virginia St-1100 Woodruff Ave, Hillside, NJ, 07205",https://www.greatschools.org/new-jersey/hillside/9246-Hillside-Innovation-Academy/,100.0,100.0
Mercer,East Windsor Regional School District,Walter C. Black Elementary School,21-1245-080,"371 STOCKTON STREET, HIGHTSTOWN, NJ, 08520",WALTERCBLACKELEMENTARYSCHOOL,371STOCKTONSTREETHIGHTSTOWNNJ08520,Walter C. Black Elementary School,"371 Stockton Street, Hightstown, NJ, 08520",https://www.greatschools.org/new-jersey/hightstown/465-Walter-C.-Black-Elementary-School/,100.0,100.0
Morris,Parsippany-Troy Hills Township School District,Intervale Elementary School,27-3950-064,"60 Pitt Road, Boonton, NJ, 07005",INTERVALEELEMENTARYSCHOOL,60PITTROADBOONTONNJ07005,Intervale Elementary School,"60 Pitt Road, Boonton, NJ, 07005",https://www.greatschools.org/new-jersey/boonton/1507-Intervale-Elementary-School/,100.0,100.0
Hudson,Hudson County Schools of Technology School District,Bayonne Academy,17-2295-305,"669 Avenue A, Bayonne, NJ, 07094",BAYONNEACADEMY,669AVENUEABAYONNENJ07094,Bayonne Academy,"669 Avenue A, Bayonne, NJ, 07094",https://www.greatschools.org/new-jersey/bayonne/8795-Bayonne-Academy/,100.0,100.0
Middlesex,Woodbridge Township School District,Menlo Park Terrace Elementary School,23-5850-230,"19 MARYKNOLL ROAD, METUCHEN, NJ, 08840",MENLOPARKTERRACEELEMENTARYSCHOOL,19MARYKNOLLROADMETUCHENNJ08840,Menlo Park Terrace Elementary School,"19 Maryknoll Road, Metuchen, NJ, 08840",https://www.greatschools.org/new-jersey/metuchen/2259-Menlo-Park-Terrace-Elementary-School/,100.0,100.0
Hunterdon,Clinton-Glen Gardner School District,Clinton Public School,19-0910-030,"10 SCHOOL STREET, CLINTON, NJ, 08809",CLINTONPUBLICSCHOOL,10SCHOOLSTREETCLINTONNJ08809,Clinton Public School,"10 School Street, Clinton, NJ, 08809",https://www.greatschools.org/new-jersey/clinton/350-Clinton-Public-School/,100.0,100.0
Monmouth,Freehold Regional High School District,Marlboro High School,25-1650-080,"95 NORTH MAIN STREET, MARLBORO, NJ, 07746",MARLBOROHIGHSCHOOL,95NORTHMAINSTREETMARLBORONJ07746,Marlboro High School,"95 North Main Street, Marlboro, NJ, 07746",https://www.greatschools.org/new-jersey/marlboro/631-Marlboro-High-School/,100.0,100.0
Camden,Camden City School District,Alfred Cramer College Preparatory Lab School,07-0680-170,"2800 MICKLE STREET, CAMDEN, NJ, 08105",ALFREDCRAMERCOLLEGEPREPARATORYLABSCHOOL,2800MICKLESTREETCAMDENNJ08105,Alfred Cramer College Preparatory Lab School,"2800 Mickle Street, Camden, NJ, 08105",https://www.greatschools.org/new-jersey/camden/249-Cramer-Elementary-School/,100.0,100.0
