county_name,district_name,school_name,county_district_school_code,school_address,name_enc,address_enc,gs_school_name,gs_school_address,gs_school_link,rating_band,rating,gs_name_enc,gs_address_enc,fuzzy_name_score,fuzzy_address_score
Somerset,Franklin Township Public Schools,Elizabeth Avenue School,35-1610-070,"363 Elizabeth Avenue, Somerset, NJ, 08873",ELIZABETHAVENUESCHOOL,363ELIZABETHAVENUESOMERSETNJ08873,Elizabeth Avenue Elementary School,"363 Elizabeth Avenue, Franklin Township, NJ, 08873",https://www.greatschools.org/new-jersey/franklin-township/615-Elizabeth-Avenue-Elementary-School/,Below average,3.0,ELIZABETHAVENUEELEMENTARYSCHOOL,363ELIZABETHAVENUEFRANKLINTOWNSHIPNJ08873,80.76923076923077,72.97297297297297
Charters,Sussex County Technology Charter School,Sussex County Technology Charter School,80-7850-960,"385 N. Church Rd., SPARTA, NJ, 07871",SUSSEXCOUNTYTECHNOLOGYCHARTERSCHOOL,385NCHURCHRDSPARTANJ07871,Sussex County Technical School,"385 North Church Road, Sparta, NJ, 07871",https://www.greatschools.org/new-jersey/sparta-township/3369-Sussex-County-Technical-School/,Below average,4.0,SUSSEXCOUNTYTECHNICALSCHOOL,385NORTHCHURCHROADSPARTANJ07871,80.64516129032258,89.28571428571429
Salem,Salem County Vocational Technical School District,Salem County Career and Technical High School,33-4640-040,"880 Route 45, WOODSTOWN, NJ, 08098",SALEMCOUNTYCAREERANDTECHNICALHIGHSCHOOL,880ROUTE45WOODSTOWNNJ08098,Salem Co Career&Tech High School,"880 New Jersey 45, Woodstown, NJ, 08098",https://www.greatschools.org/new-jersey/woodstown/1804-Salem-Co-CareerTech-High-School/,Below average,4.0,SALEMCOCAREER&TECHHIGHSCHOOL,880NEWJERSEY45WOODSTOWNNJ08098,80.59701492537313,82.14285714285714
Camden,Camden County Technical School District,Camden County Technical School-GTC,07-0700-040,"343 Berlin Cross Keys Road, Sicklerville, NJ, 08081",CAMDENCOUNTYTECHNICALSCHOOLGTC,343BERLINCROSSKEYSROADSICKLERVILLENJ08081,Camden Countytechnical Vocational School,"343 Berlin Cross Keys Road, Winslow Township, NJ, 08081",https://www.greatschools.org/new-jersey/sicklerville/271-Camden-Countytechnical-Vocational-School/,Average,6.0,CAMDENCOUNTYTECHNICALVOCATIONALSCHOOL,343BERLINCROSSKEYSROADWINSLOWTOWNSHIPNJ08081,80.59701492537313,75.29411764705883
Morris,Boonton Township School District,Rockaway Valley School,27-0460-060,"11 VALLEY ROAD, BOONTON TOWNSHIP, NJ, 07005",ROCKAWAYVALLEYSCHOOL,11VALLEYROADBOONTONTOWNSHIPNJ07005,Rockaway Valley Elementary School,"11 VALLEY ROAD, Boonton Township, NJ, 07005",https://www.greatschools.org/new-jersey/boonton/160-Rockaway-Valley-Elementary-School/,Above average,8.0,ROCKAWAYVALLEYELEMENTARYSCHOOL,11VALLEYROADBOONTONTOWNSHIPNJ07005,80.0,100.0
Atlantic,Atlantic City School District,Chelsea Heights School,01-0110-050,"4101  Filbert Avenue, Atlantic City, NJ, 08401",CHELSEAHEIGHTSSCHOOL,4101FILBERTAVENUEATLANTICCITYNJ08401,Chelsea Heights Elementary School,"4101 Filbert Avenue, Atlantic City, NJ, 08401",https://www.greatschools.org/new-jersey/atlantic-city/47-Chelsea-Heights-Elementary-School/,Average,6.0,CHELSEAHEIGHTSELEMENTARYSCHOOL,4101FILBERTAVENUEATLANTICCITYNJ08401,80.0,100.0
Bergen,Tenafly Public School District,Malcolm S Mackay School,03-5160-080,"111 JEFFERSON AVENUE, TENAFLY, NJ, 07670",MALCOLMSMACKAYSCHOOL,111JEFFERSONAVENUETENAFLYNJ07670,Malcolm S. MacKay Elementary School,"111 Jefferson Avenue, Tenafly, NJ, 07670",https://www.greatschools.org/new-jersey/tenafly/1940-Malcolm-S.-MacKay-Elementary-School/,Above average,10.0,MALCOLMSMACKAYELEMENTARYSCHOOL,111JEFFERSONAVENUETENAFLYNJ07670,80.0,100.0
Morris,Madison Public School District,Torey J. Sabatini School,27-2870-110,"Glenwild Circle, MADISON, NJ, 07940",TOREYJSABATINISCHOOL,GLENWILDCIRCLEMADISONNJ07940,Torey J. Sabatini Elementary School,"Glenwild Circle, Madison, NJ, 07940",https://www.greatschools.org/new-jersey/madison/1056-Torey-J.-Sabatini-Elementary-School/,Above average,8.0,TOREYJSABATINIELEMENTARYSCHOOL,GLENWILDCIRCLEMADISONNJ07940,80.0,100.0
Cumberland,Bridgeton City School District,Buckshutem Road School,11-0540-050,"550 BUCKSHUTEM ROAD, BRIDGETON, NJ, 08302",BUCKSHUTEMROADSCHOOL,550BUCKSHUTEMROADBRIDGETONNJ08302,Buckshutem Road Elementary School,"550 Buckshutem Road, Bridgeton, NJ, 08302",https://www.greatschools.org/new-jersey/bridgeton/187-Buckshutem-Road-Elementary-School/,Below average,1.0,BUCKSHUTEMROADELEMENTARYSCHOOL,550BUCKSHUTEMROADBRIDGETONNJ08302,80.0,100.0
Bergen,Franklin Lakes School District,Woodside Avenue School,03-1580-030,"305 Woodside Avenue, Franklin Lakes, NJ, 07417",WOODSIDEAVENUESCHOOL,305WOODSIDEAVENUEFRANKLINLAKESNJ07417,Woodside Avenue Elementary School,"305 Woodside Avenue, Franklin Lakes, NJ, 07417",https://www.greatschools.org/new-jersey/franklin-lakes/607-Woodside-Avenue-Elementary-School/,Above average,10.0,WOODSIDEAVENUEELEMENTARYSCHOOL,305WOODSIDEAVENUEFRANKLINLAKESNJ07417,80.0,100.0
