gs_school_name,gs_school_address,gs_school_link,rating
School 20,"500 East 37th Street, Paterson, NJ, 07504",https://www.greatschools.org/new-jersey/paterson/1558-Number-20-Elementary-School/,3.0
School 24,"50 19th Avenue, Paterson, NJ, 07513",https://www.greatschools.org/new-jersey/paterson/1560-Number-24-Elementary-School/,3.0
School 25,"287 Trenton Avenue, Paterson, NJ, 07503",https://www.greatschools.org/new-jersey/paterson/1561-Number-25-Elementary-School/,3.0
School 27,"250 Richmond Avenue, Paterson, NJ, 07502",https://www.greatschools.org/new-jersey/paterson/1563-Number-27-Elementary-School/,3.0
Roberto Clemente Elementary School,"434 Rosa Parks Boulevard, Paterson, NJ, 07501",https://www.greatschools.org/new-jersey/paterson/1565-Roberto-Clemente-Elementary-School/,3.0
Loudenslager Elementary School,"100 Baird Avenue, Paulsboro, NJ, 08066",https://www.greatschools.org/new-jersey/paulsboro/1573-Loudenslager-Elementary-School/,3.0
Pemberton Twp High School,"148 Arneys Mount Road, Pemberton, NJ, 08068",https://www.greatschools.org/new-jersey/pemberton/1576-Pemberton-Twp-High-School/,3.0
Marcus W. Newcomb Middle School,"101 Fort Dix Road, Pemberton, NJ, 08068",https://www.greatschools.org/new-jersey/pemberton/1577-Marcus-W.-Newcomb-Middle-School/,3.0
Field Street Elementary School,"144 FIELD STREET, Carneys Point Township, NJ, 08069",https://www.greatschools.org/new-jersey/penns-grove/1588-Field-Street-Elementary-School/,3.0
Howard M Phifer Middle School,"8201 PARK AVE, Pennsauken Township, NJ, 08109",https://www.greatschools.org/new-jersey/pennsauken-township/1593-Howard-M-Phifer-Middle-School/,3.0
Benjamin Franklin Elementary School,"7201 IRVING AVENUE, Pennsauken Township, NJ, 08109",https://www.greatschools.org/new-jersey/pennsauken-township/1596-Benjamin-Franklin-Elementary-School/,3.0
G.H. Carson Elementary School,"4150 GARFIELD AVENUE, Pennsauken Township, NJ, 08109",https://www.greatschools.org/new-jersey/pennsauken-township/1599-G.H.-Carson-Elementary-School/,3.0
Samuel E Shull Middle School,"380 Hall Avenue, Perth Amboy, NJ, 08861",https://www.greatschools.org/new-jersey/perth-amboy/1616-Samuel-E-Shull-Middle-School/,3.0
Phillipsburg Middle School,"200 Hillcrest Boulevard, Phillipsburg, NJ, 08865",https://www.greatschools.org/new-jersey/phillipsburg/1622-Phillipsburg-Middle-School/,3.0
John Glenn Elementary School,"1005 Turnersville Road, Pine Hill, NJ, 08021",https://www.greatschools.org/new-jersey/pine-hill/1624-John-Glenn-Elementary-School/,3.0
Pinelands Reg Jr High School,"590 Nugentown Road, Little Egg Harbor Township, NJ, 08087",https://www.greatschools.org/new-jersey/tuckerton/1626-Pinelands-Reg-Jr-High-School/,3.0
Dwight D. Eisenhower Elementary School,"360 Stelton Road, Piscataway, NJ, 08854",https://www.greatschools.org/new-jersey/piscataway/1633-Dwight-D.-Eisenhower-Elementary-School/,3.0
Cedarbrook Elementary School,"1049 Central Avenue, Plainfield, NJ, 07060",https://www.greatschools.org/new-jersey/plainfield/1650-Cedarbrook-Elementary-School/,3.0
Clinton Elementary School,"WEST 4TH ST AND CLINTON AVE, Plainfield, NJ, 07063",https://www.greatschools.org/new-jersey/plainfield/1651-Clinton-Elementary-School/,3.0
Washington Elementary School,"427 Darrow Avenue, Plainfield, NJ, 07060",https://www.greatschools.org/new-jersey/plainfield/1657-Washington-Elementary-School/,3.0
Washington Avenue Elementary School,"225 West Washington Avenue, Pleasantville, NJ, 08232",https://www.greatschools.org/new-jersey/pleasantville/1660-Washington-Avenue-Elementary-School/,3.0
"Number 1, Prospect Park Elementary School","94 Brown Avenue, Prospect Park, NJ, 07508",https://www.greatschools.org/new-jersey/prospect-park/1686-Number-1-Prospect-Park-Elementary-School/,3.0
Hazlet Middle School,"1639 Union Avenue, Hazlet, NJ, 07730",https://www.greatschools.org/new-jersey/hazlet/1716-Hazlet-Middle-School/,3.0
Ridgefield Park Jr Sr High School,"1 Ozzie Nelson Drive, Ridgefield Park, NJ, 07660",https://www.greatschools.org/new-jersey/ridgefield-park/1727-Ridgefield-Park-Jr-Sr-High-School/,3.0
Riverside Middle School,"112 East Washington Street, Riverside, NJ, 08075",https://www.greatschools.org/new-jersey/riverside/1750-Riverside-Middle-School/,3.0
Roosevelt Elementary School,"SCHOOL LANE, Roosevelt, NJ, 08555",https://www.greatschools.org/new-jersey/roosevelt/1763-Roosevelt-Elementary-School/,3.0
Dr Charles C Polk School,"1100 Warren Street, Roselle, NJ, 07203",https://www.greatschools.org/new-jersey/roselle/1767-Dr-Charles-C--Polk-School/,3.0
Leonard V. Moore Middle School,"720 Locust Street, Roselle, NJ, 07203",https://www.greatschools.org/new-jersey/roselle/1768-Leonard-V.-Moore-Middle-School/,3.0
Roselle Park High School,"185 West Webster Avenue, Roselle Park, NJ, 07204",https://www.greatschools.org/new-jersey/roselle-park/1771-Roselle-Park-High-School/,3.0
Eisenhower Middle School,"47 EYLAND AVENUE, Roxbury Township, NJ, 07876",https://www.greatschools.org/new-jersey/roxbury-township/1777-Eisenhower-Middle-School/,3.0
Franklin Elementary School,"95 Caldwell Avenue, Saddle Brook, NJ, 07663",https://www.greatschools.org/new-jersey/saddle-brook/1797-Franklin-Elementary-School/,3.0
Salem High School,"219 Walnut Street, Salem, NJ, 08079",https://www.greatschools.org/new-jersey/salem/1801-Salem-High-School/,3.0
Veterans Mem Elementary School,"103 HENDRICKSON AVENUE, Brick Township, NJ, 08724",https://www.greatschools.org/new-jersey/brick-township/182-Veterans-Mem-Elementary-School/,3.0
Brick Twp Memorial High School,"2001 LANES MILL RD, Brick Township, NJ, 08724",https://www.greatschools.org/new-jersey/brick-township/184-Brick-Twp-Memorial-High-School/,3.0
Somerville Middle School,"51 West Cliff Street, Somerville, NJ, 08876",https://www.greatschools.org/new-jersey/somerville/1841-Somerville-Middle-School/,3.0
South Amboy High School,"200 GOVERNOR HAROLD G HOFFMAN, South Amboy, NJ, 08879",https://www.greatschools.org/new-jersey/south-amboy/1844-South-Amboy-High-School/,3.0
John F. Kennedy Elementary School,"2900 Norwood Avenue, South Plainfield, NJ, 07080",https://www.greatschools.org/new-jersey/south-plainfield/1874-John-F.-Kennedy-Elementary-School/,3.0
South River Elementary School,"81 Johnson Place, South River, NJ, 08882",https://www.greatschools.org/new-jersey/south-river/1879-South-River-Elementary-School/,3.0
South River High School,"11 Montgomery Street, South River, NJ, 08882",https://www.greatschools.org/new-jersey/south-river/1880-South-River-High-School/,3.0
South River Middle School,"3 Montgomery Street, South River, NJ, 08882",https://www.greatschools.org/new-jersey/south-river/1881-South-River-Middle-School/,3.0
